"","TP","S.rar362","Treatment1","Habitat"
"755",14,27,"Control","Leaf"
"756",14,24,"Pre_flowering_drought","Leaf"
"757",14,25,"Pre_flowering_drought","Leaf"
"758",14,17,"Post_flowering_drought","Leaf"
"759",14,18,"Post_flowering_drought","Leaf"
"760",14,23,"Pre_flowering_drought","Leaf"
"761",14,25,"Pre_flowering_drought","Leaf"
"762",14,25,"Control","Leaf"
"763",14,22,"Control","Leaf"
"764",14,19,"Post_flowering_drought","Leaf"
"765",14,19,"Post_flowering_drought","Leaf"
"766",14,49,"Control","Root"
"767",14,42,"Control","Root"
"768",14,41,"Control","Root"
"769",14,35,"Pre_flowering_drought","Root"
"770",14,44,"Pre_flowering_drought","Root"
"771",14,25,"Post_flowering_drought","Root"
"772",14,26,"Post_flowering_drought","Root"
"773",14,48,"Control","Root"
"774",14,34,"Control","Root"
"775",14,57,"Pre_flowering_drought","Root"
"776",14,44,"Control","Root"
"777",14,33,"Pre_flowering_drought","Root"
"778",14,34,"Post_flowering_drought","Root"
"779",14,37,"Post_flowering_drought","Root"
"780",14,31,"Post_flowering_drought","Root"
"781",14,33,"Post_flowering_drought","Root"
"782",14,37,"Pre_flowering_drought","Root"
"783",14,45,"Pre_flowering_drought","Root"
"784",14,82,"Control","Soil"
"785",14,75,"Control","Soil"
"786",14,84,"Control","Soil"
"787",14,78,"Pre_flowering_drought","Soil"
"788",14,91,"Pre_flowering_drought","Soil"
"789",14,93,"Post_flowering_drought","Soil"
"790",14,94,"Post_flowering_drought","Soil"
"791",14,89,"Pre_flowering_drought","Soil"
"792",14,83,"Pre_flowering_drought","Soil"
"793",14,85,"Control","Soil"
"794",14,95,"Control","Soil"
"795",14,67,"Control","Soil"
"796",14,96,"Post_flowering_drought","Soil"
"797",14,69,"Post_flowering_drought","Soil"
"798",14,93,"Post_flowering_drought","Soil"
"799",14,98,"Post_flowering_drought","Soil"
"800",14,75,"Pre_flowering_drought","Soil"
"801",14,81,"Pre_flowering_drought","Soil"
"802",14,56,"Control","Rhizosphere"
"803",14,53,"Control","Rhizosphere"
"804",14,49,"Control","Rhizosphere"
"805",14,51,"Pre_flowering_drought","Rhizosphere"
"806",14,45,"Pre_flowering_drought","Rhizosphere"
"807",14,49,"Post_flowering_drought","Rhizosphere"
"808",14,49,"Post_flowering_drought","Rhizosphere"
"809",14,70,"Pre_flowering_drought","Rhizosphere"
"810",14,62,"Pre_flowering_drought","Rhizosphere"
"811",14,41,"Control","Rhizosphere"
"812",14,65,"Control","Rhizosphere"
"813",14,70,"Control","Rhizosphere"
"814",14,68,"Post_flowering_drought","Rhizosphere"
"815",14,59,"Post_flowering_drought","Rhizosphere"
"816",14,49,"Post_flowering_drought","Rhizosphere"
"817",14,50,"Post_flowering_drought","Rhizosphere"
"818",14,63,"Pre_flowering_drought","Rhizosphere"
"819",14,53,"Pre_flowering_drought","Rhizosphere"
"820",15,27,"Control","Leaf"
"821",15,22,"Control","Leaf"
"822",15,17,"Post_flowering_drought","Leaf"
"823",15,23,"Post_flowering_drought","Leaf"
"824",15,21,"Pre_flowering_drought","Leaf"
"825",15,27,"Pre_flowering_drought","Leaf"
"826",15,20,"Control","Leaf"
"827",15,34,"Control","Leaf"
"828",15,22,"Pre_flowering_drought","Leaf"
"829",15,26,"Pre_flowering_drought","Leaf"
"830",15,19,"Post_flowering_drought","Leaf"
"831",15,16,"Post_flowering_drought","Leaf"
"832",15,26,"Pre_flowering_drought","Leaf"
"833",15,23,"Pre_flowering_drought","Leaf"
"834",15,27,"Control","Leaf"
"835",15,27,"Control","Leaf"
"836",15,21,"Post_flowering_drought","Leaf"
"837",15,26,"Post_flowering_drought","Leaf"
"838",15,44,"Control","Root"
"839",15,48,"Control","Root"
"840",15,41,"Pre_flowering_drought","Root"
"841",15,33,"Pre_flowering_drought","Root"
"842",15,20,"Post_flowering_drought","Root"
"843",15,28,"Post_flowering_drought","Root"
"844",15,46,"Pre_flowering_drought","Root"
"845",15,39,"Pre_flowering_drought","Root"
"846",15,36,"Control","Root"
"847",15,45,"Control","Root"
"848",15,43,"Control","Root"
"849",15,42,"Control","Root"
"850",15,36,"Post_flowering_drought","Root"
"851",15,23,"Post_flowering_drought","Root"
"852",15,28,"Post_flowering_drought","Root"
"853",15,23,"Post_flowering_drought","Root"
"854",15,44,"Pre_flowering_drought","Root"
"855",15,36,"Pre_flowering_drought","Root"
"856",15,78,"Control","Soil"
"857",15,87,"Control","Soil"
"858",15,75,"Control","Soil"
"859",15,94,"Pre_flowering_drought","Soil"
"860",15,93,"Pre_flowering_drought","Soil"
"861",15,85,"Post_flowering_drought","Soil"
"862",15,95,"Post_flowering_drought","Soil"
"863",15,81,"Pre_flowering_drought","Soil"
"864",15,79,"Pre_flowering_drought","Soil"
"865",15,94,"Control","Soil"
"866",15,86,"Control","Soil"
"867",15,84,"Control","Soil"
"868",15,89,"Post_flowering_drought","Soil"
"869",15,90,"Post_flowering_drought","Soil"
"870",15,95,"Post_flowering_drought","Soil"
"871",15,100,"Post_flowering_drought","Soil"
"872",15,83,"Pre_flowering_drought","Soil"
"873",15,104,"Pre_flowering_drought","Soil"
"874",15,54,"Control","Rhizosphere"
"875",15,34,"Control","Rhizosphere"
"876",15,54,"Control","Rhizosphere"
"877",15,56,"Pre_flowering_drought","Rhizosphere"
"878",15,48,"Pre_flowering_drought","Rhizosphere"
"879",15,39,"Post_flowering_drought","Rhizosphere"
"880",15,55,"Post_flowering_drought","Rhizosphere"
"881",15,61,"Pre_flowering_drought","Rhizosphere"
"882",15,62,"Pre_flowering_drought","Rhizosphere"
"883",15,62,"Control","Rhizosphere"
"884",15,46,"Control","Rhizosphere"
"885",15,57,"Control","Rhizosphere"
"886",15,55,"Post_flowering_drought","Rhizosphere"
"887",15,54,"Post_flowering_drought","Rhizosphere"
"888",15,50,"Post_flowering_drought","Rhizosphere"
"889",15,56,"Post_flowering_drought","Rhizosphere"
"890",15,55,"Pre_flowering_drought","Rhizosphere"
"891",15,57,"Pre_flowering_drought","Rhizosphere"
"892",16,21,"Control","Leaf"
"893",16,26,"Control","Leaf"
"894",16,19,"Post_flowering_drought","Leaf"
"895",16,24,"Post_flowering_drought","Leaf"
"896",16,30,"Pre_flowering_drought","Leaf"
"897",16,21,"Pre_flowering_drought","Leaf"
"898",16,21,"Control","Leaf"
"899",16,25,"Control","Leaf"
"900",16,24,"Pre_flowering_drought","Leaf"
"901",16,22,"Pre_flowering_drought","Leaf"
"902",16,18,"Post_flowering_drought","Leaf"
"903",16,16,"Post_flowering_drought","Leaf"
"904",16,22,"Pre_flowering_drought","Leaf"
"905",16,22,"Pre_flowering_drought","Leaf"
"906",16,28,"Control","Leaf"
"907",16,31,"Control","Leaf"
"908",16,21,"Post_flowering_drought","Leaf"
"909",16,15,"Post_flowering_drought","Leaf"
"910",16,42,"Control","Root"
"911",16,43,"Control","Root"
"912",16,43,"Control","Root"
"913",16,42,"Pre_flowering_drought","Root"
"914",16,40,"Pre_flowering_drought","Root"
"915",16,28,"Post_flowering_drought","Root"
"916",16,30,"Post_flowering_drought","Root"
"917",16,47,"Pre_flowering_drought","Root"
"918",16,42,"Pre_flowering_drought","Root"
"919",16,40,"Control","Root"
"920",16,38,"Control","Root"
"921",16,41,"Control","Root"
"922",16,32,"Post_flowering_drought","Root"
"923",16,27,"Post_flowering_drought","Root"
"924",16,29,"Post_flowering_drought","Root"
"925",16,35,"Post_flowering_drought","Root"
"926",16,43,"Pre_flowering_drought","Root"
"927",16,32,"Pre_flowering_drought","Root"
"928",16,81,"Control","Soil"
"929",16,95,"Control","Soil"
"930",16,84,"Control","Soil"
"931",16,94,"Pre_flowering_drought","Soil"
"932",16,92,"Pre_flowering_drought","Soil"
"933",16,99,"Post_flowering_drought","Soil"
"934",16,87,"Post_flowering_drought","Soil"
"935",16,66,"Pre_flowering_drought","Soil"
"936",16,101,"Pre_flowering_drought","Soil"
"937",16,97,"Control","Soil"
"938",16,88,"Control","Soil"
"939",16,92,"Control","Soil"
"940",16,98,"Post_flowering_drought","Soil"
"941",16,99,"Post_flowering_drought","Soil"
"942",16,92,"Post_flowering_drought","Soil"
"943",16,96,"Post_flowering_drought","Soil"
"944",16,105,"Pre_flowering_drought","Soil"
"945",16,89,"Pre_flowering_drought","Soil"
"946",16,59,"Control","Rhizosphere"
"947",16,65,"Control","Rhizosphere"
"948",16,64,"Control","Rhizosphere"
"949",16,52,"Pre_flowering_drought","Rhizosphere"
"950",16,60,"Pre_flowering_drought","Rhizosphere"
"951",16,69,"Post_flowering_drought","Rhizosphere"
"952",16,69,"Post_flowering_drought","Rhizosphere"
"953",16,60,"Pre_flowering_drought","Rhizosphere"
"954",16,66,"Pre_flowering_drought","Rhizosphere"
"955",16,60,"Control","Rhizosphere"
"956",16,47,"Control","Rhizosphere"
"957",16,71,"Control","Rhizosphere"
"958",16,50,"Post_flowering_drought","Rhizosphere"
"959",16,55,"Post_flowering_drought","Rhizosphere"
"960",16,79,"Post_flowering_drought","Rhizosphere"
"961",16,63,"Post_flowering_drought","Rhizosphere"
"962",16,70,"Pre_flowering_drought","Rhizosphere"
"963",16,54,"Pre_flowering_drought","Rhizosphere"
"964",17,19,"Control","Leaf"
"965",17,21,"Control","Leaf"
"966",17,17,"Post_flowering_drought","Leaf"
"967",17,17,"Post_flowering_drought","Leaf"
"968",17,16,"Pre_flowering_drought","Leaf"
"969",17,24,"Pre_flowering_drought","Leaf"
"970",17,25,"Control","Leaf"
"971",17,22,"Control","Leaf"
"972",17,22,"Pre_flowering_drought","Leaf"
"973",17,23,"Pre_flowering_drought","Leaf"
"974",17,28,"Post_flowering_drought","Leaf"
"975",17,17,"Post_flowering_drought","Leaf"
"976",17,25,"Pre_flowering_drought","Leaf"
"977",17,20,"Pre_flowering_drought","Leaf"
"978",17,23,"Control","Leaf"
"979",17,20,"Control","Leaf"
"980",17,21,"Post_flowering_drought","Leaf"
"981",17,13,"Post_flowering_drought","Leaf"
"982",17,40,"Control","Root"
"983",17,43,"Control","Root"
"984",17,51,"Control","Root"
"985",17,50,"Pre_flowering_drought","Root"
"986",17,39,"Pre_flowering_drought","Root"
"987",17,28,"Post_flowering_drought","Root"
"988",17,24,"Post_flowering_drought","Root"
"989",17,40,"Pre_flowering_drought","Root"
"990",17,43,"Pre_flowering_drought","Root"
"991",17,43,"Control","Root"
"992",17,54,"Control","Root"
"993",17,46,"Control","Root"
"994",17,29,"Post_flowering_drought","Root"
"995",17,30,"Post_flowering_drought","Root"
"996",17,33,"Post_flowering_drought","Root"
"997",17,32,"Post_flowering_drought","Root"
"998",17,45,"Pre_flowering_drought","Root"
"999",17,44,"Pre_flowering_drought","Root"
"1000",17,79,"Control","Soil"
"1001",17,90,"Control","Soil"
"1002",17,55,"Control","Soil"
"1003",17,76,"Pre_flowering_drought","Soil"
"1004",17,65,"Pre_flowering_drought","Soil"
"1005",17,88,"Post_flowering_drought","Soil"
"1006",17,81,"Post_flowering_drought","Soil"
"1007",17,76,"Pre_flowering_drought","Soil"
"1008",17,86,"Pre_flowering_drought","Soil"
"1009",17,80,"Control","Soil"
"1010",17,85,"Control","Soil"
"1011",17,62,"Control","Soil"
"1012",17,91,"Post_flowering_drought","Soil"
"1013",17,42,"Post_flowering_drought","Soil"
"1014",17,76,"Post_flowering_drought","Soil"
"1015",17,74,"Post_flowering_drought","Soil"
"1016",17,79,"Pre_flowering_drought","Soil"
"1017",17,82,"Pre_flowering_drought","Soil"
"1018",17,40,"Control","Rhizosphere"
"1019",17,38,"Control","Rhizosphere"
"1020",17,39,"Control","Rhizosphere"
"1021",17,43,"Pre_flowering_drought","Rhizosphere"
"1022",17,49,"Pre_flowering_drought","Rhizosphere"
"1023",17,57,"Post_flowering_drought","Rhizosphere"
"1024",17,50,"Post_flowering_drought","Rhizosphere"
"1025",17,68,"Pre_flowering_drought","Rhizosphere"
"1026",17,59,"Pre_flowering_drought","Rhizosphere"
"1027",17,51,"Control","Rhizosphere"
"1028",17,52,"Control","Rhizosphere"
"1029",17,59,"Control","Rhizosphere"
"1030",17,57,"Post_flowering_drought","Rhizosphere"
"1031",17,44,"Post_flowering_drought","Rhizosphere"
"1032",17,43,"Post_flowering_drought","Rhizosphere"
"1033",17,51,"Post_flowering_drought","Rhizosphere"
"1034",17,68,"Pre_flowering_drought","Rhizosphere"
"1035",17,56,"Pre_flowering_drought","Rhizosphere"
