"","bNTI.ted2RC95pct","S.rar362","Habitat"
"1",0.375,92.3333333333333,"Soil"
"2",0,89.8333333333333,"Soil"
"3",0.545454545454545,89.6666666666667,"Soil"
"4",0.681818181818182,42.5,"Leaf"
"5",0,58.6666666666667,"Rhizosphere"
"6",0.642857142857143,38.5,"Root"
"7",0.375,90.3333333333333,"Soil"
"8",0.857142857142857,43.5,"Leaf"
"9",0,70.5,"Rhizosphere"
"10",0.84375,59.6666666666667,"Root"
"11",0,88.5,"Soil"
"12",0.842105263157895,50.1666666666667,"Leaf"
"13",0.84375,51.3333333333333,"Leaf"
"14",0.375,62.6666666666667,"Rhizosphere"
"15",0,60,"Rhizosphere"
"16",0.807692307692308,47.1666666666667,"Root"
"17",0.782608695652174,46.3333333333333,"Root"
"18",0.375,92.1666666666667,"Soil"
"19",0,93,"Soil"
"20",0.869565217391304,43,"Leaf"
"21",0.827586206896552,47.6666666666667,"Leaf"
"22",0.375,63.8333333333333,"Rhizosphere"
"23",0.375,55.6666666666667,"Rhizosphere"
"24",0,42.8333333333333,"Root"
"25",0.642857142857143,40.1666666666667,"Root"
"26",0.545454545454545,82.3333333333333,"Soil"
"27",0,87.3333333333333,"Soil"
"28",0.842105263157895,44.1666666666667,"Leaf"
"29",0.807692307692308,57.6666666666667,"Leaf"
"30",0.642857142857143,74.3333333333333,"Rhizosphere"
"31",0.545454545454545,56,"Rhizosphere"
"32",0,38.5,"Root"
"33",0.545454545454545,35,"Root"
"34",0.375,90.1666666666667,"Soil"
"35",0.642857142857143,80.8333333333333,"Soil"
"36",0.854368932038835,47.8333333333333,"Leaf"
"37",0.84375,58.3333333333333,"Leaf"
"38",0.375,67.8333333333333,"Rhizosphere"
"39",0,47.6666666666667,"Rhizosphere"
"40",0,30,"Root"
"41",0,32.6666666666667,"Root"
"42",0.545454545454545,92.1666666666667,"Soil"
"43",0.375,81.1666666666667,"Soil"
"44",0.84375,36.5,"Leaf"
"45",0.84375,47.8333333333333,"Leaf"
"46",0.705882352941177,67.8333333333333,"Rhizosphere"
"47",0,43.1666666666667,"Rhizosphere"
"48",0,30.6666666666667,"Root"
"49",0.642857142857143,32.3333333333333,"Root"
"50",0,89.6666666666667,"Soil"
"51",0.375,89,"Soil"
"52",0,32,"Leaf"
"53",0.545454545454545,30.1666666666667,"Leaf"
"54",0.782608695652174,35.5,"Leaf"
"55",0.705882352941177,67.6666666666667,"Rhizosphere"
"56",0.375,67,"Rhizosphere"
"57",0,43.5,"Rhizosphere"
"58",0,29.8333333333333,"Root"
"59",0,24.8333333333333,"Root"
"60",0.375,34.5,"Root"
"61",0.545454545454545,87.8333333333333,"Soil"
"62",0,87.5,"Soil"
"63",0,91.6666666666667,"Soil"
"64",0,32.8333333333333,"Leaf"
"65",0,31.5,"Leaf"
"66",0.642857142857143,27.5,"Leaf"
"67",0.375,71.1666666666667,"Rhizosphere"
"68",0.375,63.1666666666667,"Rhizosphere"
"69",0.705882352941177,64,"Rhizosphere"
"70",0,32,"Root"
"71",0,33.5,"Root"
"72",0.827586206896552,39.3333333333333,"Root"
"73",0.705882352941177,92.5,"Soil"
"74",0.545454545454545,91,"Soil"
"75",0,86.3333333333333,"Soil"
"76",0,31.5,"Leaf"
"77",0,31.5,"Leaf"
"78",0,27.3333333333333,"Leaf"
"79",0.545454545454545,65,"Rhizosphere"
"80",0,56,"Rhizosphere"
"81",0,58.8333333333333,"Rhizosphere"
"82",0,32.5,"Root"
"83",0,32.3333333333333,"Root"
"84",0,34.8333333333333,"Root"
"85",0.375,86.1666666666667,"Soil"
"86",0,89.6666666666667,"Soil"
"87",0,87,"Soil"
"88",0,28.8333333333333,"Leaf"
"89",0.705882352941177,39.3333333333333,"Leaf"
"90",0,38.8333333333333,"Leaf"
