"","TP","Abundance","Treatment","OTU","Habitat"
"642",7,1,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"643",7,0,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"644",7,22,"Control","OTU18_Gibberella","Rhizosphere"
"645",7,11,"Control","OTU18_Gibberella","Rhizosphere"
"646",7,11,"Control","OTU18_Gibberella","Rhizosphere"
"647",7,0,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"648",7,0,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"649",8,31,"Control","OTU18_Gibberella","Root"
"650",8,46,"Control","OTU18_Gibberella","Root"
"651",8,44,"Control","OTU18_Gibberella","Root"
"652",8,3,"Pre_flowering_drought","OTU18_Gibberella","Root"
"653",8,31,"Post_flowering_drought","OTU18_Gibberella","Root"
"654",8,49,"Post_flowering_drought","OTU18_Gibberella","Root"
"655",8,15,"Pre_flowering_drought","OTU18_Gibberella","Root"
"656",8,7,"Pre_flowering_drought","OTU18_Gibberella","Root"
"657",8,40,"Control","OTU18_Gibberella","Root"
"658",8,36,"Control","OTU18_Gibberella","Root"
"659",8,44,"Control","OTU18_Gibberella","Root"
"660",8,35,"Post_flowering_drought","OTU18_Gibberella","Root"
"661",8,34,"Post_flowering_drought","OTU18_Gibberella","Root"
"662",8,39,"Post_flowering_drought","OTU18_Gibberella","Root"
"663",8,39,"Post_flowering_drought","OTU18_Gibberella","Root"
"664",8,5,"Pre_flowering_drought","OTU18_Gibberella","Root"
"665",8,6,"Pre_flowering_drought","OTU18_Gibberella","Root"
"666",8,5,"Pre_flowering_drought","OTU18_Gibberella","Root"
"667",8,7,"Control","OTU18_Gibberella","Rhizosphere"
"668",8,22,"Control","OTU18_Gibberella","Rhizosphere"
"669",8,8,"Control","OTU18_Gibberella","Rhizosphere"
"670",8,2,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"671",8,0,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"672",8,28,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"673",8,33,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"674",8,0,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"675",8,1,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"676",8,19,"Control","OTU18_Gibberella","Rhizosphere"
"677",8,15,"Control","OTU18_Gibberella","Rhizosphere"
"678",8,14,"Control","OTU18_Gibberella","Rhizosphere"
"679",8,10,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"680",8,25,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"681",8,18,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"682",8,11,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"683",8,0,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"684",8,2,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"685",9,28,"Control","OTU18_Gibberella","Root"
"686",9,59,"Control","OTU18_Gibberella","Root"
"687",9,32,"Control","OTU18_Gibberella","Root"
"688",9,22,"Pre_flowering_drought","OTU18_Gibberella","Root"
"689",9,7,"Pre_flowering_drought","OTU18_Gibberella","Root"
"690",9,18,"Post_flowering_drought","OTU18_Gibberella","Root"
"691",9,51,"Post_flowering_drought","OTU18_Gibberella","Root"
"692",9,3,"Pre_flowering_drought","OTU18_Gibberella","Root"
"693",9,3,"Pre_flowering_drought","OTU18_Gibberella","Root"
"694",9,50,"Control","OTU18_Gibberella","Root"
"695",9,38,"Control","OTU18_Gibberella","Root"
"696",9,36,"Control","OTU18_Gibberella","Root"
"697",9,43,"Post_flowering_drought","OTU18_Gibberella","Root"
"698",9,67,"Post_flowering_drought","OTU18_Gibberella","Root"
"699",9,42,"Post_flowering_drought","OTU18_Gibberella","Root"
"700",9,77,"Post_flowering_drought","OTU18_Gibberella","Root"
"701",9,11,"Pre_flowering_drought","OTU18_Gibberella","Root"
"702",9,15,"Pre_flowering_drought","OTU18_Gibberella","Root"
"703",9,11,"Control","OTU18_Gibberella","Rhizosphere"
"704",9,6,"Control","OTU18_Gibberella","Rhizosphere"
"705",9,20,"Control","OTU18_Gibberella","Rhizosphere"
"706",9,2,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"707",9,1,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"708",9,9,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"709",9,25,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"710",9,2,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"711",9,3,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"712",9,6,"Control","OTU18_Gibberella","Rhizosphere"
"713",9,13,"Control","OTU18_Gibberella","Rhizosphere"
"714",9,20,"Control","OTU18_Gibberella","Rhizosphere"
"715",9,14,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"716",9,30,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"717",9,25,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"718",9,44,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"719",9,4,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"720",9,28,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"721",10,17,"Control","OTU18_Gibberella","Root"
"722",10,40,"Control","OTU18_Gibberella","Root"
"723",10,30,"Control","OTU18_Gibberella","Root"
"724",10,15,"Pre_flowering_drought","OTU18_Gibberella","Root"
"725",10,12,"Pre_flowering_drought","OTU18_Gibberella","Root"
"726",10,50,"Post_flowering_drought","OTU18_Gibberella","Root"
"727",10,18,"Post_flowering_drought","OTU18_Gibberella","Root"
"728",10,10,"Pre_flowering_drought","OTU18_Gibberella","Root"
"729",10,9,"Pre_flowering_drought","OTU18_Gibberella","Root"
"730",10,10,"Control","OTU18_Gibberella","Root"
"731",10,23,"Control","OTU18_Gibberella","Root"
"732",10,51,"Control","OTU18_Gibberella","Root"
"733",10,41,"Post_flowering_drought","OTU18_Gibberella","Root"
"734",10,36,"Post_flowering_drought","OTU18_Gibberella","Root"
"735",10,44,"Post_flowering_drought","OTU18_Gibberella","Root"
"736",10,43,"Post_flowering_drought","OTU18_Gibberella","Root"
"737",10,18,"Pre_flowering_drought","OTU18_Gibberella","Root"
"738",10,20,"Pre_flowering_drought","OTU18_Gibberella","Root"
"739",10,7,"Control","OTU18_Gibberella","Rhizosphere"
"740",10,6,"Control","OTU18_Gibberella","Rhizosphere"
"741",10,7,"Control","OTU18_Gibberella","Rhizosphere"
"742",10,14,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"743",10,4,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"744",10,74,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"745",10,7,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"746",10,2,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"747",10,3,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"748",10,9,"Control","OTU18_Gibberella","Rhizosphere"
"749",10,8,"Control","OTU18_Gibberella","Rhizosphere"
"750",10,19,"Control","OTU18_Gibberella","Rhizosphere"
"751",10,12,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"752",10,20,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"753",10,16,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"754",10,17,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"755",10,6,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"756",10,5,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"757",11,35,"Control","OTU18_Gibberella","Root"
"758",11,38,"Control","OTU18_Gibberella","Root"
"759",11,19,"Post_flowering_drought","OTU18_Gibberella","Root"
"760",11,36,"Control","OTU18_Gibberella","Root"
"761",11,57,"Control","OTU18_Gibberella","Root"
"762",11,13,"Pre_flowering_drought","OTU18_Gibberella","Root"
"763",11,8,"Pre_flowering_drought","OTU18_Gibberella","Root"
"764",11,26,"Post_flowering_drought","OTU18_Gibberella","Root"
"765",11,23,"Post_flowering_drought","OTU18_Gibberella","Root"
"766",11,8,"Pre_flowering_drought","OTU18_Gibberella","Root"
"767",11,8,"Pre_flowering_drought","OTU18_Gibberella","Root"
"768",11,41,"Control","OTU18_Gibberella","Root"
"769",11,49,"Control","OTU18_Gibberella","Root"
"770",11,19,"Post_flowering_drought","OTU18_Gibberella","Root"
"771",11,54,"Post_flowering_drought","OTU18_Gibberella","Root"
"772",11,50,"Post_flowering_drought","OTU18_Gibberella","Root"
"773",11,29,"Pre_flowering_drought","OTU18_Gibberella","Root"
"774",11,8,"Pre_flowering_drought","OTU18_Gibberella","Root"
"775",11,10,"Control","OTU18_Gibberella","Rhizosphere"
"776",11,15,"Control","OTU18_Gibberella","Rhizosphere"
"777",11,14,"Control","OTU18_Gibberella","Rhizosphere"
"778",11,3,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"779",11,3,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"780",11,10,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"781",11,3,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"782",11,4,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"783",11,4,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"784",11,10,"Control","OTU18_Gibberella","Rhizosphere"
"785",11,6,"Control","OTU18_Gibberella","Rhizosphere"
"786",11,17,"Control","OTU18_Gibberella","Rhizosphere"
"787",11,23,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"788",11,18,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"789",11,10,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"790",11,32,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"791",11,8,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"792",11,3,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"793",12,45,"Control","OTU18_Gibberella","Root"
"794",12,37,"Control","OTU18_Gibberella","Root"
"795",12,49,"Control","OTU18_Gibberella","Root"
"796",12,10,"Pre_flowering_drought","OTU18_Gibberella","Root"
"797",12,13,"Pre_flowering_drought","OTU18_Gibberella","Root"
"798",12,38,"Post_flowering_drought","OTU18_Gibberella","Root"
"799",12,67,"Post_flowering_drought","OTU18_Gibberella","Root"
"800",12,26,"Pre_flowering_drought","OTU18_Gibberella","Root"
"801",12,23,"Pre_flowering_drought","OTU18_Gibberella","Root"
"802",12,63,"Control","OTU18_Gibberella","Root"
"803",12,40,"Control","OTU18_Gibberella","Root"
"804",12,70,"Control","OTU18_Gibberella","Root"
"805",12,22,"Post_flowering_drought","OTU18_Gibberella","Root"
"806",12,71,"Post_flowering_drought","OTU18_Gibberella","Root"
"807",12,80,"Post_flowering_drought","OTU18_Gibberella","Root"
"808",12,51,"Post_flowering_drought","OTU18_Gibberella","Root"
"809",12,24,"Pre_flowering_drought","OTU18_Gibberella","Root"
"810",12,9,"Pre_flowering_drought","OTU18_Gibberella","Root"
"811",12,9,"Control","OTU18_Gibberella","Rhizosphere"
"812",12,9,"Control","OTU18_Gibberella","Rhizosphere"
"813",12,17,"Control","OTU18_Gibberella","Rhizosphere"
"814",12,7,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"815",12,2,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"816",12,28,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"817",12,27,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"818",12,17,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"819",12,12,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"820",12,22,"Control","OTU18_Gibberella","Rhizosphere"
"821",12,5,"Control","OTU18_Gibberella","Rhizosphere"
"822",12,22,"Control","OTU18_Gibberella","Rhizosphere"
"823",12,22,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"824",12,40,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"825",12,71,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"826",12,9,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"827",12,10,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"828",12,2,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"829",13,48,"Control","OTU18_Gibberella","Root"
"830",13,60,"Control","OTU18_Gibberella","Root"
"831",13,61,"Control","OTU18_Gibberella","Root"
"832",13,22,"Pre_flowering_drought","OTU18_Gibberella","Root"
"833",13,34,"Pre_flowering_drought","OTU18_Gibberella","Root"
"834",13,111,"Post_flowering_drought","OTU18_Gibberella","Root"
"835",13,123,"Post_flowering_drought","OTU18_Gibberella","Root"
"836",13,30,"Pre_flowering_drought","OTU18_Gibberella","Root"
"837",13,15,"Pre_flowering_drought","OTU18_Gibberella","Root"
"838",13,67,"Control","OTU18_Gibberella","Root"
"839",13,26,"Control","OTU18_Gibberella","Root"
"840",13,110,"Control","OTU18_Gibberella","Root"
"841",13,81,"Post_flowering_drought","OTU18_Gibberella","Root"
"842",13,94,"Post_flowering_drought","OTU18_Gibberella","Root"
"843",13,61,"Post_flowering_drought","OTU18_Gibberella","Root"
"844",13,55,"Post_flowering_drought","OTU18_Gibberella","Root"
"845",13,30,"Pre_flowering_drought","OTU18_Gibberella","Root"
"846",13,16,"Pre_flowering_drought","OTU18_Gibberella","Root"
"847",13,12,"Control","OTU18_Gibberella","Rhizosphere"
"848",13,4,"Control","OTU18_Gibberella","Rhizosphere"
"849",13,5,"Control","OTU18_Gibberella","Rhizosphere"
"850",13,8,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"851",13,0,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"852",13,49,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"853",13,106,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"854",13,17,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"855",13,5,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"856",13,12,"Control","OTU18_Gibberella","Rhizosphere"
"857",13,1,"Control","OTU18_Gibberella","Rhizosphere"
"858",13,17,"Control","OTU18_Gibberella","Rhizosphere"
"859",13,29,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"860",13,42,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"861",13,28,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"862",13,31,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"863",13,4,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"864",13,1,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"865",14,43,"Control","OTU18_Gibberella","Root"
"866",14,81,"Control","OTU18_Gibberella","Root"
"867",14,70,"Control","OTU18_Gibberella","Root"
"868",14,19,"Pre_flowering_drought","OTU18_Gibberella","Root"
"869",14,28,"Pre_flowering_drought","OTU18_Gibberella","Root"
"870",14,115,"Post_flowering_drought","OTU18_Gibberella","Root"
"871",14,118,"Post_flowering_drought","OTU18_Gibberella","Root"
"872",14,66,"Control","OTU18_Gibberella","Root"
"873",14,65,"Control","OTU18_Gibberella","Root"
"874",14,16,"Pre_flowering_drought","OTU18_Gibberella","Root"
"875",14,80,"Control","OTU18_Gibberella","Root"
"876",14,33,"Pre_flowering_drought","OTU18_Gibberella","Root"
"877",14,73,"Post_flowering_drought","OTU18_Gibberella","Root"
"878",14,97,"Post_flowering_drought","OTU18_Gibberella","Root"
"879",14,94,"Post_flowering_drought","OTU18_Gibberella","Root"
"880",14,59,"Post_flowering_drought","OTU18_Gibberella","Root"
"881",14,12,"Pre_flowering_drought","OTU18_Gibberella","Root"
"882",14,47,"Pre_flowering_drought","OTU18_Gibberella","Root"
"883",14,7,"Control","OTU18_Gibberella","Rhizosphere"
"884",14,18,"Control","OTU18_Gibberella","Rhizosphere"
"885",14,5,"Control","OTU18_Gibberella","Rhizosphere"
"886",14,4,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"887",14,7,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"888",14,71,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"889",14,52,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"890",14,2,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"891",14,7,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"892",14,4,"Control","OTU18_Gibberella","Rhizosphere"
"893",14,8,"Control","OTU18_Gibberella","Rhizosphere"
"894",14,4,"Control","OTU18_Gibberella","Rhizosphere"
"895",14,17,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"896",14,55,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"897",14,23,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"898",14,39,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"899",14,7,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"900",14,10,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"901",15,58,"Control","OTU18_Gibberella","Root"
"902",15,70,"Control","OTU18_Gibberella","Root"
"903",15,10,"Pre_flowering_drought","OTU18_Gibberella","Root"
"904",15,28,"Pre_flowering_drought","OTU18_Gibberella","Root"
"905",15,117,"Post_flowering_drought","OTU18_Gibberella","Root"
"906",15,88,"Post_flowering_drought","OTU18_Gibberella","Root"
"907",15,24,"Pre_flowering_drought","OTU18_Gibberella","Root"
"908",15,43,"Pre_flowering_drought","OTU18_Gibberella","Root"
"909",15,70,"Control","OTU18_Gibberella","Root"
"910",15,35,"Control","OTU18_Gibberella","Root"
"911",15,57,"Control","OTU18_Gibberella","Root"
"912",15,82,"Control","OTU18_Gibberella","Root"
"913",15,51,"Post_flowering_drought","OTU18_Gibberella","Root"
"914",15,118,"Post_flowering_drought","OTU18_Gibberella","Root"
"915",15,107,"Post_flowering_drought","OTU18_Gibberella","Root"
"916",15,94,"Post_flowering_drought","OTU18_Gibberella","Root"
"917",15,31,"Pre_flowering_drought","OTU18_Gibberella","Root"
"918",15,45,"Pre_flowering_drought","OTU18_Gibberella","Root"
"919",15,3,"Control","OTU18_Gibberella","Rhizosphere"
"920",15,8,"Control","OTU18_Gibberella","Rhizosphere"
"921",15,4,"Control","OTU18_Gibberella","Rhizosphere"
"922",15,5,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"923",15,4,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"924",15,85,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"925",15,43,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"926",15,6,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"927",15,8,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"928",15,25,"Control","OTU18_Gibberella","Rhizosphere"
"929",15,15,"Control","OTU18_Gibberella","Rhizosphere"
"930",15,20,"Control","OTU18_Gibberella","Rhizosphere"
"931",15,42,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"932",15,59,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"933",15,38,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"934",15,24,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"935",15,12,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"936",15,5,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"937",16,19,"Control","OTU18_Gibberella","Root"
"938",16,82,"Control","OTU18_Gibberella","Root"
"939",16,59,"Control","OTU18_Gibberella","Root"
"940",16,35,"Pre_flowering_drought","OTU18_Gibberella","Root"
"941",16,41,"Pre_flowering_drought","OTU18_Gibberella","Root"
"942",16,111,"Post_flowering_drought","OTU18_Gibberella","Root"
"943",16,93,"Post_flowering_drought","OTU18_Gibberella","Root"
"944",16,30,"Pre_flowering_drought","OTU18_Gibberella","Root"
"945",16,49,"Pre_flowering_drought","OTU18_Gibberella","Root"
"946",16,90,"Control","OTU18_Gibberella","Root"
"947",16,59,"Control","OTU18_Gibberella","Root"
"948",16,89,"Control","OTU18_Gibberella","Root"
"949",16,43,"Post_flowering_drought","OTU18_Gibberella","Root"
"950",16,135,"Post_flowering_drought","OTU18_Gibberella","Root"
"951",16,90,"Post_flowering_drought","OTU18_Gibberella","Root"
"952",16,42,"Post_flowering_drought","OTU18_Gibberella","Root"
"953",16,26,"Pre_flowering_drought","OTU18_Gibberella","Root"
"954",16,15,"Pre_flowering_drought","OTU18_Gibberella","Root"
"955",16,8,"Control","OTU18_Gibberella","Rhizosphere"
"956",16,12,"Control","OTU18_Gibberella","Rhizosphere"
"957",16,9,"Control","OTU18_Gibberella","Rhizosphere"
"958",16,5,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"959",16,3,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"960",16,37,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"961",16,42,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"962",16,7,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"963",16,13,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"964",16,17,"Control","OTU18_Gibberella","Rhizosphere"
"965",16,7,"Control","OTU18_Gibberella","Rhizosphere"
"966",16,8,"Control","OTU18_Gibberella","Rhizosphere"
"967",16,13,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"968",16,32,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"969",16,37,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"970",16,12,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"971",16,12,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"972",16,3,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"973",17,23,"Control","OTU18_Gibberella","Root"
"974",17,97,"Control","OTU18_Gibberella","Root"
"975",17,35,"Control","OTU18_Gibberella","Root"
"976",17,14,"Pre_flowering_drought","OTU18_Gibberella","Root"
"977",17,33,"Pre_flowering_drought","OTU18_Gibberella","Root"
"978",17,94,"Post_flowering_drought","OTU18_Gibberella","Root"
"979",17,96,"Post_flowering_drought","OTU18_Gibberella","Root"
"980",17,41,"Pre_flowering_drought","OTU18_Gibberella","Root"
"981",17,21,"Pre_flowering_drought","OTU18_Gibberella","Root"
"982",17,81,"Control","OTU18_Gibberella","Root"
"983",17,77,"Control","OTU18_Gibberella","Root"
"984",17,69,"Control","OTU18_Gibberella","Root"
"985",17,104,"Post_flowering_drought","OTU18_Gibberella","Root"
"986",17,127,"Post_flowering_drought","OTU18_Gibberella","Root"
"987",17,100,"Post_flowering_drought","OTU18_Gibberella","Root"
"988",17,47,"Post_flowering_drought","OTU18_Gibberella","Root"
"989",17,80,"Pre_flowering_drought","OTU18_Gibberella","Root"
"990",17,57,"Pre_flowering_drought","OTU18_Gibberella","Root"
"991",17,2,"Control","OTU18_Gibberella","Rhizosphere"
"992",17,8,"Control","OTU18_Gibberella","Rhizosphere"
"993",17,2,"Control","OTU18_Gibberella","Rhizosphere"
"994",17,1,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"995",17,4,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"996",17,41,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"997",17,34,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"998",17,5,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"999",17,3,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"1000",17,11,"Control","OTU18_Gibberella","Rhizosphere"
"1001",17,25,"Control","OTU18_Gibberella","Rhizosphere"
"1002",17,11,"Control","OTU18_Gibberella","Rhizosphere"
"1003",17,61,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"1004",17,50,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"1005",17,22,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"1006",17,14,"Post_flowering_drought","OTU18_Gibberella","Rhizosphere"
"1007",17,11,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"1008",17,3,"Pre_flowering_drought","OTU18_Gibberella","Rhizosphere"
"1009",1,0,"Control","OTU19_Sarocladium","Root"
"1010",1,2,"Control","OTU19_Sarocladium","Root"
"1011",1,0,"Control","OTU19_Sarocladium","Root"
"1012",1,2,"Control","OTU19_Sarocladium","Root"
"1013",1,1,"Control","OTU19_Sarocladium","Root"
"1014",1,0,"Control","OTU19_Sarocladium","Root"
"1015",1,1,"Control","OTU19_Sarocladium","Rhizosphere"
"1016",1,0,"Control","OTU19_Sarocladium","Rhizosphere"
"1017",1,1,"Control","OTU19_Sarocladium","Rhizosphere"
"1018",1,3,"Control","OTU19_Sarocladium","Rhizosphere"
"1019",1,3,"Control","OTU19_Sarocladium","Rhizosphere"
"1020",1,2,"Control","OTU19_Sarocladium","Rhizosphere"
"1021",2,1,"Control","OTU19_Sarocladium","Root"
"1022",2,3,"Control","OTU19_Sarocladium","Root"
"1023",2,3,"Control","OTU19_Sarocladium","Root"
"1024",2,5,"Control","OTU19_Sarocladium","Root"
"1025",2,2,"Control","OTU19_Sarocladium","Root"
"1026",2,5,"Control","OTU19_Sarocladium","Root"
"1027",2,5,"Control","OTU19_Sarocladium","Rhizosphere"
"1028",2,6,"Control","OTU19_Sarocladium","Rhizosphere"
"1029",2,4,"Control","OTU19_Sarocladium","Rhizosphere"
"1030",2,4,"Control","OTU19_Sarocladium","Rhizosphere"
"1031",2,4,"Control","OTU19_Sarocladium","Rhizosphere"
"1032",2,2,"Control","OTU19_Sarocladium","Rhizosphere"
"1033",3,9,"Control","OTU19_Sarocladium","Root"
"1034",3,3,"Control","OTU19_Sarocladium","Root"
"1035",3,7,"Control","OTU19_Sarocladium","Root"
"1036",3,7,"Pre_flowering_drought","OTU19_Sarocladium","Root"
"1037",3,8,"Pre_flowering_drought","OTU19_Sarocladium","Root"
"1038",3,5,"Pre_flowering_drought","OTU19_Sarocladium","Root"
"1039",3,4,"Pre_flowering_drought","OTU19_Sarocladium","Root"
"1040",3,4,"Control","OTU19_Sarocladium","Root"
"1041",3,3,"Control","OTU19_Sarocladium","Root"
"1042",3,1,"Control","OTU19_Sarocladium","Root"
"1043",3,4,"Pre_flowering_drought","OTU19_Sarocladium","Root"
"1044",3,4,"Pre_flowering_drought","OTU19_Sarocladium","Root"
"1045",3,5,"Control","OTU19_Sarocladium","Rhizosphere"
"1046",3,5,"Control","OTU19_Sarocladium","Rhizosphere"
"1047",3,1,"Control","OTU19_Sarocladium","Rhizosphere"
"1048",3,6,"Pre_flowering_drought","OTU19_Sarocladium","Rhizosphere"
"1049",3,12,"Pre_flowering_drought","OTU19_Sarocladium","Rhizosphere"
"1050",3,2,"Pre_flowering_drought","OTU19_Sarocladium","Rhizosphere"
"1051",3,7,"Pre_flowering_drought","OTU19_Sarocladium","Rhizosphere"
"1052",3,8,"Control","OTU19_Sarocladium","Rhizosphere"
"1053",3,3,"Control","OTU19_Sarocladium","Rhizosphere"
"1054",3,5,"Control","OTU19_Sarocladium","Rhizosphere"
"1055",3,4,"Pre_flowering_drought","OTU19_Sarocladium","Rhizosphere"
"1056",3,4,"Pre_flowering_drought","OTU19_Sarocladium","Rhizosphere"
"1057",4,8,"Control","OTU19_Sarocladium","Root"
"1058",4,2,"Control","OTU19_Sarocladium","Root"
"1059",4,7,"Control","OTU19_Sarocladium","Root"
