"","fung.dist","gd"
"1",0.550755221544846,12
"2",0.606580715820357,63.2455532033676
"3",0.651979623397207,52
"4",0.797419764455986,46.6476151587624
"5",0.556424666690037,53.8144961882948
"6",0.467726549389492,52
"7",0.60557495541022,41.182520563948
"8",0.759601131276825,41.7612260356422
"9",0.458693164093226,46.6476151587624
"10",0.569139294423734,12
"11",0.762894582138916,41.182520563948
"12",0.519756603829581,31.2409987036266
"13",0.53254948051425,31.2409987036266
"14",0.621660041563252,23.3238075793812
"15",0.731814488466988,12
