"","fung.dist","td"
"1",0.560317000939765,1
"2",0.816073584410772,2
"3",0.752379256140686,3
"4",0.769662133358829,4
"5",0.476106678664126,5
"6",0.747533804585132,6
"7",0.757506500608134,7
"8",0.770603568743609,8
"9",0.802803821811564,9
"10",0.806776678217,10
"11",0.826890248637836,11
"12",0.831588768747582,12
"13",0.835753334828882,13
"14",0.726748169926721,14
"15",0.80178320485455,15
"16",0.819743584574448,16
"17",0.64299292226478,1
"18",0.613203142026491,2
"19",0.580864758585552,3
"20",0.582599250923299,4
"21",0.621612697129343,5
"22",0.6668722728503,6
"23",0.637483124644876,7
"24",0.653759559043179,8
"25",0.646282096702441,9
"26",0.662843896593866,10
"27",0.686904271721007,11
"28",0.682355910031208,12
"29",0.595554124757334,13
"30",0.659186750748653,14
"31",0.68117755985321,15
"32",0.542512814318463,1
"33",0.55532565934811,2
"34",0.75990033940137,3
"35",0.629805880591279,4
"36",0.561319923698823,5
"37",0.546885131509941,6
"38",0.577303999373977,7
"39",0.56676434455098,8
"40",0.545961158459637,9
"41",0.607682096892233,10
"42",0.595610077181764,11
"43",0.592319007753704,12
"44",0.614039456687628,13
"45",0.581655345920412,14
"46",0.470855113418387,1
"47",0.70988777752713,2
"48",0.614738017272896,3
"49",0.543880417401019,4
"50",0.490968602963647,5
"51",0.49958099898609,6
"52",0.50801810276882,7
"53",0.501129335462622,8
"54",0.523297123505689,9
"55",0.540813014166818,10
"56",0.514501590780369,11
"57",0.525106872266345,12
"58",0.51637588754194,13
"59",0.700123350582405,1
"60",0.582721904311462,2
"61",0.556883375340523,3
"62",0.429274874269827,4
"63",0.427288528906696,5
"64",0.482795334284791,6
"65",0.497288789901839,7
"66",0.513289749112129,8
"67",0.509294873376788,9
"68",0.572615266418151,10
"69",0.523532193373618,11
"70",0.509187127979019,12
"71",0.558224978918139,1
"72",0.636894565146846,2
"73",0.664159293028451,3
"74",0.719108302141032,4
"75",0.731234050817697,5
"76",0.747136122045524,6
"77",0.755449116157755,7
"78",0.734748283997199,8
"79",0.636459464861254,9
"80",0.727290641232499,10
"81",0.7703714754715,11
"82",0.445448277999888,1
"83",0.529344662545722,2
"84",0.563023254794602,3
"85",0.549891534376668,4
"86",0.563525057694704,5
"87",0.590582213931439,6
"88",0.574890438320477,7
"89",0.570917168493853,8
"90",0.60070407152882,9
"91",0.593556652150362,10
"92",0.439194656746355,1
"93",0.44920115643652,2
"94",0.484078060785652,3
"95",0.488838740967065,4
"96",0.507246702520551,5
"97",0.518897184025099,6
"98",0.538362962716168,7
"99",0.534290643072043,8
"100",0.51429135660707,9
"101",0.259352376983549,1
"102",0.313500354145388,2
"103",0.31746794159365,3
"104",0.335704418753719,4
"105",0.300051356322499,5
"106",0.367339860752641,6
"107",0.377316392266574,7
"108",0.30001059209338,8
"109",0.227565091262191,1
"110",0.227271040067717,2
"111",0.22090449895193,3
"112",0.221292582917021,4
"113",0.353315656099801,5
"114",0.333622832098074,6
"115",0.273561671458115,7
"116",0.193230047701971,1
"117",0.24709055327761,2
"118",0.204824906409687,3
"119",0.304228421686089,4
"120",0.25580564377164,5
"121",0.234326889381078,6
"122",0.195634944070899,1
"123",0.210638941916687,2
"124",0.291870956105783,3
"125",0.271865449279945,4
"126",0.232507214146577,5
"127",0.236485349077755,1
"128",0.263777027898317,2
"129",0.262386661919703,3
"130",0.213925609377048,4
"131",0.24481565855504,1
"132",0.228185781498682,2
"133",0.218109383795947,3
"134",0.273033918229605,1
"135",0.261273949228007,2
"136",0.184888545070252,1
