"","fung.dist","td"
"1",0.403890574991061,1
"2",0.427171677012159,2
"3",0.431347546685995,3
"4",0.44701010665001,4
"5",0.396154215980564,5
"6",0.441408071737769,6
"7",0.4581699046932,7
"8",0.435182881538425,8
"9",0.381231090551084,1
"10",0.458791661686403,9
"11",0.589401590446804,10
"12",0.46186825894991,11
"13",0.61686711558484,12
"14",0.476943246341902,13
"15",0.538320050875283,14
"16",0.58008624231812,15
"17",0.677703372823414,16
"18",0.37831183164381,1
"19",0.443886188433982,2
"20",0.407953604602955,3
"21",0.422345184268463,4
"22",0.407706336908016,5
"23",0.460884240971588,6
"24",0.420954521790366,7
"25",0.36275625330716,2
"26",0.503131743012469,8
"27",0.598677567797605,9
"28",0.425642471067202,10
"29",0.632524618625864,11
"30",0.434761069389968,12
"31",0.508270595040357,13
"32",0.575650343504368,14
"33",0.692288106018286,15
"34",0.413923985151637,1
"35",0.446712486958379,2
"36",0.40557804713996,3
"37",0.433155520368168,4
"38",0.469074943166892,5
"39",0.425610293808554,6
"40",0.413772346084708,3
"41",0.515765569303726,7
"42",0.623448572928133,8
"43",0.481411104191854,9
"44",0.599377353598874,10
"45",0.489405274620392,11
"46",0.528999463739504,12
"47",0.594318195263246,13
"48",0.708877462168755,14
"49",0.406005396159974,1
"50",0.398332673898674,2
"51",0.402198061661065,3
"52",0.435450473039842,4
"53",0.39598275470371,5
"54",0.417221342722688,4
"55",0.437880333095857,6
"56",0.652164778211033,7
"57",0.430558776991756,8
"58",0.636052765219272,9
"59",0.48759646050652,10
"60",0.494388877245908,11
"61",0.596600925853308,12
"62",0.67484037178265,13
"63",0.43347669410631,1
"64",0.449612627493379,2
"65",0.460447432134297,3
"66",0.445836074068848,4
"67",0.431789893495421,5
"68",0.517173845186548,5
"69",0.621365973269901,6
"70",0.478792997534268,7
"71",0.643142406524725,8
"72",0.421916992035705,9
"73",0.547432774210084,10
"74",0.630905772041074,11
"75",0.686569456101653,12
"76",0.423970145658749,1
"77",0.451986019161757,2
"78",0.395514544423564,3
"79",0.358429019266448,6
"80",0.470005842738814,4
"81",0.599063211072155,5
"82",0.443233424510409,6
"83",0.634504944458076,7
"84",0.461397242746763,8
"85",0.535565906406485,9
"86",0.584195801628704,10
"87",0.670474900798849,11
"88",0.430267827772188,1
"89",0.392378557911226,2
"90",0.439722307673947,7
"91",0.486836312826653,3
"92",0.66566109173647,4
"93",0.407985174992727,5
"94",0.625879271561878,6
"95",0.495770213282258,7
"96",0.483893524435582,8
"97",0.548218785661354,9
"98",0.686311158354134,10
"99",0.422793238426004,1
"100",0.452742697581939,8
"101",0.471064615783444,2
"102",0.66849579771254,3
"103",0.480835965073682,4
"104",0.628270927895006,5
"105",0.457323565908449,6
"106",0.555084492237154,7
"107",0.549128727808954,8
"108",0.654982631099731,9
"109",0.426591444333268,9
"110",0.486435739113582,1
"111",0.654183532753358,2
"112",0.4320105202285,3
"113",0.599021902472746,4
"114",0.444348212936217,5
"115",0.541686697644592,6
"116",0.588958678048246,7
"117",0.662252024974096,8
"118",0.464501044453566,10
"119",0.616272639917382,11
"120",0.41511121625696,12
"121",0.609691627769724,13
"122",0.455880657905107,14
"123",0.488038532605736,15
"124",0.551225354621936,16
"125",0.644834197163609,17
"126",0.597974358287787,1
"127",0.449576676991117,2
"128",0.577867576304074,3
"129",0.503781271897097,4
"130",0.540224142197803,5
"131",0.534488352320984,6
"132",0.649034299749301,7
"133",0.590082568026346,1
"134",0.452524357863222,2
"135",0.504111294349732,3
"136",0.575008718872281,4
"137",0.561113411130088,5
"138",0.491426407831972,6
"139",0.558400948941407,1
"140",0.405878283075127,2
"141",0.450835649937435,3
"142",0.51015341267596,4
"143",0.626076234518564,5
"144",0.525287210865434,1
"145",0.523332670346181,2
"146",0.539195251554729,3
"147",0.425294980103706,4
"148",0.444406535161002,1
"149",0.545364631361261,2
"150",0.591917206394256,3
"151",0.475354640209932,1
"152",0.565786107198455,2
"153",0.530875243877601,1
