"","TP","value","Cultivar"
"TP13R3",13,8,"RTx430"
"TP13R4",13,13,"BTx642"
"TP13R5",13,6,"RTx430"
"TP13R6",13,3,"BTx642"
"TP14R1",14,19,"RTx430"
"TP14R11",14,5,"BTx642"
"TP14R12",14,20,"RTx430"
"TP14R13",14,11,"RTx430"
"TP14R14",14,7,"BTx642"
"TP14R15",14,12,"BTx642"
"TP14R16",14,12,"RTx430"
"TP14R17Rt",14,13,"BTx642"
"TP14R18Rt",14,5,"RTx430"
"TP14R19Rt",14,5,"BTx642"
"TP14R2",14,7,"BTx642"
"TP14R20Rt",14,6,"RTx430"
"TP14R21",14,17,"BTx642"
"TP14R22",14,21,"RTx430"
"TP14R3",14,7,"RTx430"
"TP14R4",14,9,"BTx642"
"TP14R5",14,4,"RTx430"
"TP14R6",14,15,"BTx642"
"TP15R11",15,2,"BTx642"
"TP15R12",15,12,"RTx430"
"TP15R13",15,7,"RTx430"
"TP15R14",15,5,"BTx642"
"TP15R15",15,1,"BTx642"
"TP15R16",15,20,"RTx430"
"TP15R17",15,11,"BTx642"
"TP15R18",15,10,"RTx430"
"TP15R19",15,3,"BTx642"
"TP15R1t",15,17,"RTx430"
"TP15R2",15,7,"BTx642"
"TP15R20",15,12,"RTx430"
"TP15R21",15,12,"BTx642"
"TP15R22",15,21,"RTx430"
"TP15R3",15,9,"RTx430"
"TP15R4",15,6,"BTx642"
"TP15R5",15,6,"RTx430"
"TP15R6",15,11,"BTx642"
"TP16R1",16,25,"RTx430"
"TP16R11",16,12,"BTx642"
"TP16R12",16,24,"RTx430"
"TP16R13",16,11,"RTx430"
"TP16R14",16,16,"BTx642"
"TP16R15",16,5,"BTx642"
"TP16R16",16,35,"RTx430"
"TP16R17",16,12,"BTx642"
"TP16R18",16,7,"RTx430"
"TP16R19",16,8,"BTx642"
"TP16R2",16,4,"BTx642"
"TP16R20",16,14,"RTx430"
"TP16R21",16,11,"BTx642"
"TP16R22",16,12,"RTx430"
"TP16R3",16,12,"RTx430"
"TP16R4a",16,10,"BTx642"
"TP16R5",16,8,"RTx430"
"TP16R6",16,4,"BTx642"
"TP17R1",17,13,"RTx430"
"TP17R11",17,2,"BTx642"
"TP17R12",17,26,"RTx430"
"TP17R13",17,14,"RTx430"
"TP17R14",17,18,"BTx642"
"TP17R15",17,13,"BTx642"
"TP17R16",17,5,"RTx430"
"TP17R17",17,9,"BTx642"
"TP17R18",17,21,"RTx430"
"TP17R19",17,6,"BTx642"
"TP17R2",17,11,"BTx642"
"TP17R20",17,22,"RTx430"
"TP17R21",17,15,"BTx642"
"TP17R22",17,19,"RTx430"
"TP17R3",17,13,"RTx430"
"TP17R4",17,12,"BTx642"
"TP17R5",17,19,"RTx430"
"TP17R6",17,22,"BTx642"
