"","fung.dist","td"
"1",0.593795162155117,1
"2",0.58081465357338,2
"3",0.569739346412519,3
"4",0.540057967293812,4
"5",0.560208535286866,5
"6",0.642758589668825,6
"7",0.67117304925446,7
"8",0.636529574576719,8
"9",0.632375768039971,9
"10",0.613835613388761,10
"11",0.680369473559611,11
"12",0.720204827701746,12
"13",0.614469585113331,13
"14",0.701805868684477,14
"15",0.69767757200654,15
"16",0.72524446727669,16
"17",0.54474070052447,1
"18",0.550413494665409,2
"19",0.582619723912742,3
"20",0.588544659960078,4
"21",0.603047846528659,5
"22",0.664879729638692,6
"23",0.643421691896899,7
"24",0.682582182614786,8
"25",0.641997776129921,9
"26",0.664084547864988,10
"27",0.722412778786608,11
"28",0.625647428168051,12
"29",0.729934939162487,13
"30",0.742490337946671,14
"31",0.759462266916243,15
"32",0.38459173804629,1
"33",0.47111707890962,2
"34",0.42589504785509,3
"35",0.463291448643612,4
"36",0.51928719907534,5
"37",0.455498883701061,6
"38",0.514078143844375,7
"39",0.446505265457171,8
"40",0.473466809106572,9
"41",0.559057187379956,10
"42",0.450949018009634,11
"43",0.565532018484275,12
"44",0.554914705578596,13
"45",0.583600702624938,14
"46",0.322620135137048,1
"47",0.288747241844391,2
"48",0.392416088938708,3
"49",0.384767301042511,4
"50",0.366741647797826,5
"51",0.375825319198275,6
"52",0.44720544222763,7
"53",0.500241140695263,8
"54",0.603560572122534,9
"55",0.446603523988181,10
"56",0.570408955147602,11
"57",0.552765639998198,12
"58",0.629532251324154,13
"59",0.389503821210985,1
"60",0.457789728959473,2
"61",0.489521179822836,3
"62",0.463691779212531,4
"63",0.434825673970634,5
"64",0.570528474111348,6
"65",0.570718116700167,7
"66",0.679155371751999,8
"67",0.551470229657001,9
"68",0.648898473776515,10
"69",0.615997628517542,11
"70",0.683368651809269,12
"71",0.322423724945434,1
"72",0.34095627222839,2
"73",0.280254835468295,3
"74",0.374039117642473,4
"75",0.363707195617836,5
"76",0.452892421465334,6
"77",0.543308787479031,7
"78",0.449111609246659,8
"79",0.505680404657421,9
"80",0.532489054156379,10
"81",0.593941798317058,11
"82",0.27363019801003,1
"83",0.287191138653015,2
"84",0.346955335622495,3
"85",0.366635407734991,4
"86",0.391371336707237,5
"87",0.501088558339949,6
"88",0.493896396213231,7
"89",0.46457643911487,8
"90",0.460783692204576,9
"91",0.524685562317329,10
"92",0.270057324392592,1
"93",0.407564059823237,2
"94",0.329595641383379,3
"95",0.320470014175842,4
"96",0.475741586335905,5
"97",0.467258808849861,6
"98",0.403199108942949,7
"99",0.464356548354957,8
"100",0.500447914418778,9
"101",0.404109293157107,1
"102",0.331449734276024,2
"103",0.367474485493035,3
"104",0.454901013474939,4
"105",0.474561565741406,5
"106",0.388474653744246,6
"107",0.407884670300484,7
"108",0.505130352697536,8
"109",0.435580203861575,1
"110",0.497594258540776,2
"111",0.595495081376616,3
"112",0.473299061873627,4
"113",0.573802452622597,5
"114",0.536735909961704,6
"115",0.592147940463851,7
"116",0.309870689542841,1
"117",0.396492573362904,2
"118",0.412377802893046,3
"119",0.349897964351222,4
"120",0.400560874485451,5
"121",0.436957051197668,6
"122",0.357121116995264,1
"123",0.491754246192661,2
"124",0.274449129484149,3
"125",0.385942199838906,4
"126",0.351820564366622,5
"127",0.518493327340351,1
"128",0.34926516501984,2
"129",0.371345896117814,3
"130",0.401021425341189,4
"131",0.535569522342609,1
"132",0.521898381868703,2
"133",0.561423513823123,3
"134",0.361288029948862,1
"135",0.361358036718087,2
"136",0.42037427258113,1
