"","fung.dist","td"
"1",0.757349566617657,1
"2",0.459842940486659,2
"3",0.516386773816051,3
"4",0.508333578181256,4
"5",0.52761089421267,5
"6",0.676343660739621,6
"7",0.794420428964533,7
"8",0.748747455819054,8
"9",0.776757302572291,9
"10",0.794164402898764,10
"11",0.811184373322954,11
"12",0.823877286660876,12
"13",0.786217376610432,13
"14",0.833845151743814,14
"15",0.798655191391179,15
"16",0.828370335668179,16
"17",0.676538477281907,1
"18",0.741812688771989,2
"19",0.697284195434819,3
"20",0.662532449535138,4
"21",0.59862911741037,5
"22",0.540245097910944,6
"23",0.584764928005622,7
"24",0.576448696809988,8
"25",0.616912573946136,9
"26",0.635475114939009,10
"27",0.589768075771241,11
"28",0.606965403713831,12
"29",0.613024824990327,13
"30",0.605306249471376,14
"31",0.583780294423015,15
"32",0.516763293287953,1
"33",0.457936496769246,2
"34",0.469838093310444,3
"35",0.592662049075707,4
"36",0.686813898090376,5
"37",0.656899968507689,6
"38",0.681168527184049,7
"39",0.687610157051806,8
"40",0.731640228541875,9
"41",0.710048388229182,10
"42",0.715358761929213,11
"43",0.736831923593525,12
"44",0.714501143278575,13
"45",0.715630992928134,14
"46",0.513544099462397,1
"47",0.569942276700328,2
"48",0.509541708568018,3
"49",0.58382312607755,4
"50",0.575740123465278,5
"51",0.610892583960735,6
"52",0.646586510146563,7
"53",0.708848112087745,8
"54",0.708456198836786,9
"55",0.730364367634778,10
"56",0.745964608211935,11
"57",0.719310346002697,12
"58",0.737613570909422,13
"59",0.502176440459583,1
"60",0.614962879318054,2
"61",0.702632922524368,3
"62",0.710398191936074,4
"63",0.695097005498586,5
"64",0.707147074427844,6
"65",0.733463088597004,7
"66",0.738458448436398,8
"67",0.749708585417492,9
"68",0.756160668304973,10
"69",0.724491696424839,11
"70",0.75235388748864,12
"71",0.606555177103163,1
"72",0.660752380658336,2
"73",0.638035886860669,3
"74",0.640196227240187,4
"75",0.648168519119495,5
"76",0.679669219543496,6
"77",0.665751857832944,7
"78",0.689424275422917,8
"79",0.675086898498095,9
"80",0.63043777299677,10
"81",0.687165792641329,11
"82",0.43757828916104,1
"83",0.487660652183035,2
"84",0.512594790631103,3
"85",0.502327559067782,4
"86",0.57312036102132,5
"87",0.556688293732162,6
"88",0.574268299860186,7
"89",0.556607426434038,8
"90",0.544246465505567,9
"91",0.552900919897833,10
"92",0.359531369163207,1
"93",0.430504528000937,2
"94",0.41905016176474,3
"95",0.437715066692836,4
"96",0.44870919826846,5
"97",0.438691646366625,6
"98",0.43781256504045,7
"99",0.456381438159813,8
"100",0.429810325522774,9
"101",0.347015627299289,1
"102",0.300688154238386,2
"103",0.296353256145241,3
"104",0.334567055896495,4
"105",0.302452936989756,5
"106",0.355007069240017,6
"107",0.392528237205618,7
"108",0.406197003454467,8
"109",0.345279158848852,1
"110",0.337004642302799,2
"111",0.323641952617394,3
"112",0.41126345788243,4
"113",0.365589873809772,5
"114",0.363682207544116,6
"115",0.384013991909587,7
"116",0.252828487835058,1
"117",0.245732044542757,2
"118",0.324684051390754,3
"119",0.280671732449978,4
"120",0.332223239238806,5
"121",0.369303394955029,6
"122",0.224861529739228,1
"123",0.216620429260382,2
"124",0.230993943526724,3
"125",0.286077292672322,4
"126",0.269053080451537,5
"127",0.224725014161962,1
"128",0.188461966402525,2
"129",0.249064769278508,3
"130",0.235949527075413,4
"131",0.193232014069681,1
"132",0.243351377276614,2
"133",0.28132216685097,3
"134",0.201141397032492,1
"135",0.209151018403764,2
"136",0.273255695408172,1
