"","TP","value","Cultivar"
"TP09R4",9,3,"BTx642"
"TP09R5",9,4,"RTx430"
"TP09R6",9,0,"BTx642"
"TP10R1",10,23,"RTx430"
"TP10R11",10,10,"BTx642"
"TP10R12",10,55,"RTx430"
"TP10R13",10,4,"RTx430"
"TP10R14",10,2,"BTx642"
"TP10R15",10,10,"BTx642"
"TP10R16",10,38,"RTx430"
"TP10R17",10,2,"BTx642"
"TP10R18",10,14,"RTx430"
"TP10R19",10,22,"BTx642"
"TP10R2",10,9,"BTx642"
"TP10R20",10,8,"RTx430"
"TP10R21",10,11,"BTx642"
"TP10R22",10,11,"RTx430"
"TP10R3",10,15,"RTx430"
"TP10R4",10,5,"BTx642"
"TP10R5",10,10,"RTx430"
"TP10R6",10,1,"BTx642"
"TP11R01z",11,34,"RTx430"
"TP11R02z",11,37,"BTx642"
"TP11R03z",11,17,"RTx430"
"TP11R11",11,15,"BTx642"
"TP11R12",11,26,"RTx430"
"TP11R13",11,28,"RTx430"
"TP11R14",11,8,"BTx642"
"TP11R15",11,7,"BTx642"
"TP11R16",11,16,"RTx430"
"TP11R17",11,9,"BTx642"
"TP11R18",11,61,"RTx430"
"TP11R19",11,21,"BTx642"
"TP11R20",11,33,"RTx430"
"TP11R21",11,33,"BTx642"
"TP11R22z",11,13,"RTx430"
"TP11R4",11,7,"BTx642"
"TP11R5t",11,7,"RTx430"
"TP11R6",11,5,"BTx642"
"TP12R1",12,33,"RTx430"
"TP12R11",12,17,"BTx642"
"TP12R12",12,13,"RTx430"
"TP12R13",12,55,"RTx430"
"TP12R14",12,24,"BTx642"
"TP12R15",12,4,"BTx642"
"TP12R16",12,8,"RTx430"
"TP12R17",12,32,"BTx642"
"TP12R18",12,40,"RTx430"
"TP12R19",12,12,"BTx642"
"TP12R2",12,16,"BTx642"
"TP12R20",12,12,"RTx430"
"TP12R21",12,6,"BTx642"
"TP12R22",12,7,"RTx430"
"TP12R3",12,2,"RTx430"
"TP12R4",12,7,"BTx642"
"TP12R5",12,29,"RTx430"
"TP12R6",12,19,"BTx642"
"TP13R1",13,2,"RTx430"
"TP13R11",13,4,"BTx642"
"TP13R12",13,12,"RTx430"
"TP13R13",13,33,"RTx430"
"TP13R14",13,16,"BTx642"
"TP13R15",13,1,"BTx642"
"TP13R16",13,17,"RTx430"
"TP13R17",13,19,"BTx642"
"TP13R18",13,81,"RTx430"
"TP13R19",13,9,"BTx642"
"TP13R2",13,18,"BTx642"
"TP13R20",13,9,"RTx430"
"TP13R21",13,1,"BTx642"
"TP13R22",13,12,"RTx430"
"TP13R3",13,3,"RTx430"
"TP13R4",13,0,"BTx642"
"TP13R5",13,27,"RTx430"
"TP13R6",13,15,"BTx642"
"TP14R1",14,36,"RTx430"
"TP14R11",14,6,"BTx642"
"TP14R12",14,17,"RTx430"
"TP14R13",14,20,"RTx430"
"TP14R14",14,10,"BTx642"
"TP14R15",14,2,"BTx642"
"TP14R16",14,6,"RTx430"
"TP14R17Rt",14,8,"BTx642"
"TP14R18Rt",14,5,"RTx430"
"TP14R19Rt",14,33,"BTx642"
"TP14R2",14,7,"BTx642"
"TP14R20Rt",14,20,"RTx430"
"TP14R21",14,4,"BTx642"
"TP14R22",14,4,"RTx430"
"TP14R3",14,5,"RTx430"
"TP14R4",14,12,"BTx642"
"TP14R5",14,40,"RTx430"
"TP14R6",14,7,"BTx642"
"TP15R11",15,3,"BTx642"
"TP15R12",15,12,"RTx430"
"TP15R13",15,25,"RTx430"
"TP15R14",15,8,"BTx642"
"TP15R15",15,0,"BTx642"
"TP15R16",15,5,"RTx430"
"TP15R17",15,20,"BTx642"
"TP15R18",15,29,"RTx430"
"TP15R19",15,13,"BTx642"
"TP15R1t",15,9,"RTx430"
"TP15R2",15,7,"BTx642"
"TP15R20",15,4,"RTx430"
"TP15R21",15,1,"BTx642"
"TP15R22",15,1,"RTx430"
"TP15R3",15,1,"RTx430"
"TP15R4",15,0,"BTx642"
"TP15R5",15,25,"RTx430"
"TP15R6",15,13,"BTx642"
"TP16R1",16,11,"RTx430"
"TP16R11",16,6,"BTx642"
"TP16R12",16,6,"RTx430"
"TP16R13",16,25,"RTx430"
"TP16R14",16,12,"BTx642"
"TP16R15",16,1,"BTx642"
"TP16R16",16,3,"RTx430"
"TP16R17",16,17,"BTx642"
"TP16R18",16,70,"RTx430"
"TP16R19",16,7,"BTx642"
"TP16R2",16,4,"BTx642"
"TP16R20",16,25,"RTx430"
"TP16R21",16,0,"BTx642"
"TP16R22",16,1,"RTx430"
"TP16R3",16,3,"RTx430"
"TP16R4a",16,3,"BTx642"
"TP16R5",16,34,"RTx430"
"TP16R6",16,12,"BTx642"
"TP17R1",17,29,"RTx430"
"TP17R11",17,2,"BTx642"
"TP17R12",17,11,"RTx430"
"TP17R13",17,22,"RTx430"
"TP17R14",17,14,"BTx642"
"TP17R15",17,1,"BTx642"
"TP17R16",17,1,"RTx430"
"TP17R17",17,27,"BTx642"
"TP17R18",17,23,"RTx430"
"TP17R19",17,8,"BTx642"
"TP17R2",17,7,"BTx642"
"TP17R20",17,19,"RTx430"
"TP17R21",17,0,"BTx642"
"TP17R22",17,3,"RTx430"
"TP17R3",17,5,"RTx430"
"TP17R4",17,3,"BTx642"
"TP17R5",17,47,"RTx430"
"TP17R6",17,17,"BTx642"
