"","Fungi","Relative_Abundance","Sampletime","Direction","Distance"
"119","OTU12_Talaromyces",11,"TP0913","A",4
"120","OTU12_Talaromyces",3,"TP1011","A",4
"121","OTU12_Talaromyces",4,"TP0913","B",4
"122","OTU12_Talaromyces",7,"TP1011","B",4
"123","OTU12_Talaromyces",1,"TP0913","C",4
"124","OTU12_Talaromyces",15,"TP1011","C",4
"125","OTU12_Talaromyces",1,"TP0913","A",8
"126","OTU12_Talaromyces",1,"TP1011","A",8
"127","OTU12_Talaromyces",1,"TP0913","B",8
"128","OTU12_Talaromyces",1,"TP1011","B",8
"129","OTU12_Talaromyces",0,"TP0913","C",8
"130","OTU12_Talaromyces",3,"TP1011","C",8
"131","OTU6_Fusarium",11,"TP0913","P",0
"132","OTU6_Fusarium",35,"TP1011","P",0
"133","OTU6_Fusarium",53,"TP0913","A",1
"134","OTU6_Fusarium",9,"TP1011","A",1
"135","OTU6_Fusarium",26,"TP0913","B",1
"136","OTU6_Fusarium",59,"TP1011","B",1
"137","OTU6_Fusarium",40,"TP0913","C",1
"138","OTU6_Fusarium",5,"TP1011","C",1
"139","OTU6_Fusarium",16,"TP0913","A",2
"140","OTU6_Fusarium",3,"TP1011","A",2
"141","OTU6_Fusarium",42,"TP0913","B",2
"142","OTU6_Fusarium",52,"TP1011","B",2
"143","OTU6_Fusarium",30,"TP0913","C",2
"144","OTU6_Fusarium",57,"TP1011","C",2
"145","OTU6_Fusarium",19,"TP0913","A",4
"146","OTU6_Fusarium",37,"TP1011","A",4
"147","OTU6_Fusarium",34,"TP0913","B",4
"148","OTU6_Fusarium",12,"TP1011","B",4
"149","OTU6_Fusarium",25,"TP0913","C",4
"150","OTU6_Fusarium",9,"TP1011","C",4
"151","OTU6_Fusarium",90,"TP0913","A",8
"152","OTU6_Fusarium",13,"TP1011","A",8
"153","OTU6_Fusarium",90,"TP0913","B",8
"154","OTU6_Fusarium",74,"TP1011","B",8
"155","OTU6_Fusarium",11,"TP0913","C",8
"156","OTU6_Fusarium",16,"TP1011","C",8
"157","OTU8_Gloeoporus",0,"TP0913","P",0
"158","OTU8_Gloeoporus",0,"TP1011","P",0
"159","OTU8_Gloeoporus",0,"TP0913","A",1
"160","OTU8_Gloeoporus",0,"TP1011","A",1
"161","OTU8_Gloeoporus",0,"TP0913","B",1
"162","OTU8_Gloeoporus",0,"TP1011","B",1
"163","OTU8_Gloeoporus",0,"TP0913","C",1
