"","Fungi","Relative_Abundance","Habitat","TP","Treatment","Cultivar"
"1","Arbuscular_mycorrhiza",0.000126274692957987,"Soil",0,"CON","BTx642"
"2","Arbuscular_mycorrhiza",0.00469886706767886,"Leaf",1,"CON","BTx642"
"3","Arbuscular_mycorrhiza",0.00281166716804751,"Rhizosphere",1,"CON","BTx642"
"4","Arbuscular_mycorrhiza",0.010935055946826,"Root",1,"CON","BTx642"
"5","Arbuscular_mycorrhiza",0.000927531165695538,"Soil",1,"CON","BTx642"
"6","Arbuscular_mycorrhiza",0.00237948274797852,"Leaf",2,"CON","BTx642"
"7","Arbuscular_mycorrhiza",0.0284273113948757,"Rhizosphere",2,"CON","BTx642"
"8","Arbuscular_mycorrhiza",0.0421684351092737,"Root",2,"CON","BTx642"
"9","Arbuscular_mycorrhiza",0.0111379499018997,"Soil",2,"CON","BTx642"
"10","Arbuscular_mycorrhiza",0.000684659091667925,"Leaf",3,"CON","BTx642"
"11","Arbuscular_mycorrhiza",0.0216192713618172,"Rhizosphere",3,"CON","BTx642"
"12","Arbuscular_mycorrhiza",0.0260124488356803,"Root",3,"CON","BTx642"
"13","Arbuscular_mycorrhiza",0.00757803190235677,"Soil",3,"CON","BTx642"
"14","Arbuscular_mycorrhiza",0.00340259608821449,"Leaf",4,"CON","BTx642"
"15","Arbuscular_mycorrhiza",0.00865015575267099,"Rhizosphere",4,"CON","BTx642"
"16","Arbuscular_mycorrhiza",0.00966063656759985,"Root",4,"CON","BTx642"
"17","Arbuscular_mycorrhiza",0.0400780514172548,"Soil",4,"CON","BTx642"
"18","Arbuscular_mycorrhiza",0.00432089732136527,"Leaf",5,"CON","BTx642"
"19","Arbuscular_mycorrhiza",0.016050456561386,"Rhizosphere",5,"CON","BTx642"
"20","Arbuscular_mycorrhiza",0.00523403239348872,"Root",5,"CON","BTx642"
"21","Arbuscular_mycorrhiza",0.0193415448608098,"Soil",5,"CON","BTx642"
"22","Arbuscular_mycorrhiza",0.00319876330022478,"Leaf",6,"CON","BTx642"
"23","Arbuscular_mycorrhiza",0.00722249946942656,"Rhizosphere",6,"CON","BTx642"
"24","Arbuscular_mycorrhiza",0.00390029971136539,"Root",6,"CON","BTx642"
