"","TP","J","Treatment1","Habitat"
"127",4,0.824863704060914,"Pre_flowering_drought","Soil"
"128",4,0.732025603578775,"Control","Soil"
"129",4,0.895489939971826,"Control","Soil"
"130",4,0.889187772395662,"Control","Soil"
"131",4,0.879745591891329,"Pre_flowering_drought","Soil"
"132",4,0.831188269639666,"Pre_flowering_drought","Soil"
"133",4,0.799606521941143,"Control","Rhizosphere"
"134",4,0.773100148917903,"Control","Rhizosphere"
"135",4,0.755728511766826,"Control","Rhizosphere"
"136",4,0.716105318243177,"Pre_flowering_drought","Rhizosphere"
"137",4,0.656637480735112,"Pre_flowering_drought","Rhizosphere"
"138",4,0.596436300159972,"Pre_flowering_drought","Rhizosphere"
"139",4,0.703301014675037,"Pre_flowering_drought","Rhizosphere"
"140",4,0.813731252405697,"Control","Rhizosphere"
"141",4,0.777150344296212,"Control","Rhizosphere"
"142",4,0.859979228702745,"Control","Rhizosphere"
"143",4,0.591564730442371,"Pre_flowering_drought","Rhizosphere"
"144",4,0.569905130511207,"Pre_flowering_drought","Rhizosphere"
"145",5,0.558224370528764,"Control","Leaf"
"146",5,0.777611277496582,"Control","Leaf"
"147",5,0.786771051148377,"Pre_flowering_drought","Leaf"
"148",5,0.781965687554941,"Pre_flowering_drought","Leaf"
"149",5,0.738500720193506,"Control","Leaf"
"150",5,0.768141074927785,"Control","Leaf"
"151",5,0.76573867294288,"Pre_flowering_drought","Leaf"
"152",5,0.725199343637597,"Pre_flowering_drought","Leaf"
"153",5,0.784419161340529,"Pre_flowering_drought","Leaf"
"154",5,0.783597389919195,"Pre_flowering_drought","Leaf"
"155",5,0.750942974999641,"Control","Leaf"
"156",5,0.762908426627083,"Control","Leaf"
"157",5,0.805717821808844,"Control","Root"
"158",5,0.754238050159672,"Control","Root"
"159",5,0.795947604289025,"Control","Root"
"160",5,0.749134385193778,"Pre_flowering_drought","Root"
"161",5,0.609054757521906,"Pre_flowering_drought","Root"
"162",5,0.616076238012028,"Pre_flowering_drought","Root"
"163",5,0.63889381090376,"Pre_flowering_drought","Root"
"164",5,0.779911802720761,"Control","Root"
"165",5,0.803125516065935,"Control","Root"
"166",5,0.730111386292641,"Control","Root"
"167",5,0.721441144401982,"Pre_flowering_drought","Root"
"168",5,0.718149950597263,"Pre_flowering_drought","Root"
"169",5,0.885576654797687,"Control","Soil"
"170",5,0.899245957842528,"Control","Soil"
"171",5,0.85024433834642,"Control","Soil"
"172",5,0.857032921829528,"Pre_flowering_drought","Soil"
"173",5,0.776476117944772,"Pre_flowering_drought","Soil"
"174",5,0.890311758492744,"Pre_flowering_drought","Soil"
"175",5,0.896916125871289,"Pre_flowering_drought","Soil"
"176",5,0.843740653650275,"Control","Soil"
"177",5,0.882085328056961,"Control","Soil"
"178",5,0.881380571439407,"Control","Soil"
"179",5,0.876623214953859,"Pre_flowering_drought","Soil"
"180",5,0.869903440533196,"Pre_flowering_drought","Soil"
"181",5,0.8266424663659,"Control","Rhizosphere"
"182",5,0.867962693740192,"Control","Rhizosphere"
"183",5,0.818183547203873,"Control","Rhizosphere"
"184",5,0.769353077369394,"Pre_flowering_drought","Rhizosphere"
"185",5,0.573104468850096,"Pre_flowering_drought","Rhizosphere"
"186",5,0.459306534435868,"Pre_flowering_drought","Rhizosphere"
"187",5,0.605587695731432,"Pre_flowering_drought","Rhizosphere"
"188",5,0.821117915704437,"Control","Rhizosphere"
"189",5,0.792757415552516,"Control","Rhizosphere"
"190",5,0.831153014862154,"Control","Rhizosphere"
"191",5,0.874762228731887,"Pre_flowering_drought","Rhizosphere"
"192",5,0.454261740897893,"Pre_flowering_drought","Rhizosphere"
"193",6,0.732114554105811,"Control","Leaf"
"194",6,0.836494015043825,"Control","Leaf"
"195",6,0.688178737497368,"Control","Leaf"
"196",6,0.811966137183509,"Pre_flowering_drought","Leaf"
"197",6,0.799532254335561,"Pre_flowering_drought","Leaf"
"198",6,0.764298169244715,"Pre_flowering_drought","Leaf"
"199",6,0.795824297539325,"Pre_flowering_drought","Leaf"
"200",6,0.686592774714293,"Control","Leaf"
"201",6,0.778072935533557,"Control","Leaf"
"202",6,0.557777637898125,"Control","Leaf"
"203",6,0.752673697711167,"Pre_flowering_drought","Leaf"
"204",6,0.678101393569396,"Pre_flowering_drought","Leaf"
"205",6,0.723523531968525,"Control","Root"
"206",6,0.66811216925558,"Control","Root"
"207",6,0.654283597550351,"Control","Root"
"208",6,0.712830410475499,"Pre_flowering_drought","Root"
"209",6,0.489581640906186,"Pre_flowering_drought","Root"
"210",6,0.492391950248007,"Pre_flowering_drought","Root"
"211",6,0.734915465263778,"Pre_flowering_drought","Root"
"212",6,0.694322370283139,"Control","Root"
"213",6,0.646680940106474,"Control","Root"
"214",6,0.685688373126493,"Control","Root"
"215",6,0.674368984883965,"Pre_flowering_drought","Root"
"216",6,0.491327848239945,"Pre_flowering_drought","Root"
"217",6,0.827616775042739,"Control","Soil"
"218",6,0.878040110077063,"Control","Soil"
"219",6,0.853214757941711,"Control","Soil"
"220",6,0.917871684226614,"Pre_flowering_drought","Soil"
"221",6,0.836636133420153,"Pre_flowering_drought","Soil"
"222",6,0.820669573579994,"Pre_flowering_drought","Soil"
"223",6,0.894066261350661,"Pre_flowering_drought","Soil"
"224",6,0.902628361860922,"Control","Soil"
"225",6,0.878645706231859,"Control","Soil"
"226",6,0.913921136039206,"Control","Soil"
"227",6,0.801478112357372,"Pre_flowering_drought","Soil"
"228",6,0.840632763333605,"Pre_flowering_drought","Soil"
"229",6,0.778164332654677,"Control","Rhizosphere"
"230",6,0.73713858988115,"Control","Rhizosphere"
"231",6,0.786924993461406,"Control","Rhizosphere"
"232",6,0.670186932664977,"Pre_flowering_drought","Rhizosphere"
"233",6,0.451515488484941,"Pre_flowering_drought","Rhizosphere"
"234",6,0.428551322130819,"Pre_flowering_drought","Rhizosphere"
"235",6,0.436048454292706,"Pre_flowering_drought","Rhizosphere"
"236",6,0.826514218908074,"Control","Rhizosphere"
"237",6,0.815938966931425,"Control","Rhizosphere"
"238",6,0.894496651708147,"Control","Rhizosphere"
"239",6,0.637343449449371,"Pre_flowering_drought","Rhizosphere"
"240",6,0.507913372800946,"Pre_flowering_drought","Rhizosphere"
"241",7,0.543283726768076,"Control","Leaf"
"242",7,0.545586962086765,"Control","Leaf"
"243",7,0.593740950315286,"Control","Leaf"
"244",7,0.743876037095155,"Pre_flowering_drought","Leaf"
"245",7,0.457953161666681,"Pre_flowering_drought","Root"
"246",7,0.792331302258059,"Pre_flowering_drought","Leaf"
"247",7,0.782616026279758,"Pre_flowering_drought","Leaf"
"248",7,0.784709157158736,"Control","Leaf"
"249",7,0.532415054718262,"Control","Leaf"
"250",7,0.60693274089504,"Control","Root"
"251",7,0.715713178794902,"Pre_flowering_drought","Leaf"
"252",7,0.723546157075039,"Pre_flowering_drought","Leaf"
"253",7,0.710443049283031,"Control","Root"
"254",7,0.691250867599842,"Control","Root"
"255",7,0.696276441826512,"Control","Root"
"256",7,0.445353258781689,"Pre_flowering_drought","Root"
"257",7,0.708170500398152,"Pre_flowering_drought","Leaf"
"258",7,0.363003596571276,"Pre_flowering_drought","Root"
"259",7,0.607269992181453,"Pre_flowering_drought","Root"
"260",7,0.703971762951599,"Control","Root"
"261",7,0.771367692233279,"Control","Root"
"262",7,0.506266278475144,"Control","Leaf"
"263",7,0.576800196705017,"Pre_flowering_drought","Root"
"264",7,0.475349410601989,"Pre_flowering_drought","Root"
"265",7,0.88112862847395,"Control","Soil"
"266",7,0.865122898834765,"Control","Soil"
"267",7,0.893502080896248,"Control","Soil"
"268",7,0.871949738118081,"Pre_flowering_drought","Soil"
"269",7,0.874932901818661,"Pre_flowering_drought","Soil"
"270",7,0.904043640689726,"Pre_flowering_drought","Soil"
"271",7,0.863035124161412,"Pre_flowering_drought","Soil"
"272",7,0.862639631786621,"Control","Soil"
"273",7,0.880065574435707,"Control","Soil"
"274",7,0.86286301618221,"Control","Soil"
"275",7,0.847745888982765,"Pre_flowering_drought","Soil"
