"","gd","bc","TP"
"1",1,0.220705611910792,"TP0913"
"2",3,0.290210103002353,"TP0913"
"3",7,0.205085665570959,"TP0913"
"4",1.4142135623731,0.238355675164684,"TP0913"
"5",2.23606797749979,0.244372298048121,"TP0913"
"6",4.12310562561766,0.286909241658289,"TP0913"
"7",8.06225774829855,0.256495893520061,"TP0913"
"8",1,0.222358964914886,"TP0913"
"9",2.23606797749979,0.262728703867257,"TP0913"
"10",5,0.226618877479112,"TP0913"
"11",10.6301458127346,0.222267331343578,"TP0913"
"12",1,0.222218042261662,"TP0913"
"13",2,0.282153618347971,"TP0913"
"14",6,0.237204653509734,"TP0913"
"15",2.23606797749979,0.226153646454313,"TP0913"
"16",2.82842712474619,0.234462021174576,"TP0913"
"17",4.47213595499958,0.315545371957489,"TP0913"
"18",8.24621125123532,0.30662565903771,"TP0913"
"19",1.4142135623731,0.220778253937405,"TP0913"
"20",2,0.198512107837016,"TP0913"
"21",4.47213595499958,0.216667901272646,"TP0913"
"22",10,0.26884296712486,"TP0913"
"23",2,0.271307821040546,"TP0913"
"24",4,0.279873862197586,"TP0913"
"25",4.12310562561766,0.2556537075818,"TP0913"
"26",4.47213595499958,0.2510894418785,"TP0913"
"27",5.65685424949238,0.342581083961525,"TP0913"
"28",8.94427190999916,0.307533427934453,"TP0913"
"29",3.16227766016838,0.282638602808877,"TP0913"
"30",2.82842712474619,0.273696191823675,"TP0913"
"31",4,0.283774147257214,"TP0913"
"32",8.94427190999916,0.288804439456681,"TP0913"
"33",4,0.290268055874805,"TP0913"
"34",8.06225774829855,0.227416507796568,"TP0913"
"35",8.24621125123532,0.218942513692824,"TP0913"
"36",8.94427190999916,0.264069254212355,"TP0913"
"37",11.3137084989848,0.237197756499391,"TP0913"
"38",7.07106781186548,0.24097228590504,"TP0913"
"39",6.32455532033676,0.274494317445575,"TP0913"
"40",5.65685424949238,0.19653434954664,"TP0913"
"41",8,0.193021667635217,"TP0913"
"42",8,0.207867510947637,"TP0913"
"43",1,0.184591167407168,"TP0913"
"44",3,0.296465820790153,"TP0913"
"45",7,0.26747649530984,"TP0913"
"46",1,0.250152779175329,"TP0913"
"47",2.23606797749979,0.23268875734008,"TP0913"
"48",5,0.222599223428773,"TP0913"
"49",10.6301458127346,0.229737544611343,"TP0913"
"50",1,0.251411853163248,"TP0913"
"51",2,0.287716375626705,"TP0913"
"52",6,0.273469820931894,"TP0913"
"53",1.4142135623731,0.262408888963187,"TP0913"
"54",2,0.240367295031219,"TP0913"
"55",4.47213595499958,0.226180348433087,"TP0913"
"56",10,0.235384589809011,"TP0913"
"57",2,0.248801629205696,"TP0913"
"58",4,0.266406411713248,"TP0913"
"59",3.16227766016838,0.306837207326621,"TP0913"
"60",2.82842712474619,0.322028819641639,"TP0913"
"61",4,0.278474903011572,"TP0913"
"62",8.94427190999916,0.271691552130849,"TP0913"
"63",4,0.257033600454607,"TP0913"
"64",7.07106781186548,0.30458779991645,"TP0913"
"65",6.32455532033676,0.318131599683366,"TP0913"
"66",5.65685424949238,0.272853551844287,"TP0913"
"67",8,0.208630852730734,"TP0913"
"68",8,0.221439501864049,"TP0913"
"69",1.4142135623731,0.227081378027744,"TP0913"
"70",4.24264068711928,0.220360243277779,"TP0913"
"71",9.89949493661167,0.258591958951542,"TP0913"
"72",1.4142135623731,0.279001507040519,"TP0913"
"73",2.82842712474619,0.243209253899528,"TP0913"
"74",8.48528137423857,0.293685550518965,"TP0913"
"75",2.82842712474619,0.31001175598087,"TP0913"
"76",5.65685424949238,0.229446119261799,"TP0913"
"77",5.65685424949238,0.235876265896358,"TP0913"
"78",11.3137084989848,0.19406841033387,"TP0913"
"79",1,0.276420098613393,"TP1011"
"80",3,0.276938821523555,"TP1011"
"81",7,0.237329257548656,"TP1011"
"82",1.4142135623731,0.259419279901107,"TP1011"
"83",2.23606797749979,0.282543642017698,"TP1011"
"84",4.12310562561766,0.262206863452923,"TP1011"
"85",8.06225774829855,0.290667607037197,"TP1011"
"86",1,0.270121869272618,"TP1011"
"87",2.23606797749979,0.319932567181838,"TP1011"
"88",5,0.258911653970144,"TP1011"
"89",10.6301458127346,0.268825942167061,"TP1011"
"90",1,0.303525691747259,"TP1011"
"91",2,0.344266889987745,"TP1011"
"92",6,0.302707009621232,"TP1011"
"93",2.23606797749979,0.314174649071841,"TP1011"
"94",2.82842712474619,0.280016627792379,"TP1011"
"95",4.47213595499958,0.294443704378426,"TP1011"
"96",8.24621125123532,0.323241441109098,"TP1011"
"97",1.4142135623731,0.253890409688573,"TP1011"
"98",2,0.297181635131823,"TP1011"
"99",4.47213595499958,0.24814600307035,"TP1011"
"100",10,0.319204878275435,"TP1011"
"101",2,0.356817932024029,"TP1011"
"102",4,0.273414243798491,"TP1011"
"103",4.12310562561766,0.282785427765396,"TP1011"
"104",4.47213595499958,0.312325430727389,"TP1011"
"105",5.65685424949238,0.293133700516204,"TP1011"
"106",8.94427190999916,0.298392739923136,"TP1011"
"107",3.16227766016838,0.353130514319638,"TP1011"
"108",2.82842712474619,0.386844697762663,"TP1011"
"109",4,0.324192155417754,"TP1011"
"110",8.94427190999916,0.274803211292257,"TP1011"
"111",4,0.288758180693636,"TP1011"
"112",8.06225774829855,0.261883353099276,"TP1011"
"113",8.24621125123532,0.274041211540427,"TP1011"
"114",8.94427190999916,0.268621029035116,"TP1011"
"115",11.3137084989848,0.297923753927784,"TP1011"
"116",7.07106781186548,0.295843368468762,"TP1011"
"117",6.32455532033676,0.331768753111878,"TP1011"
"118",5.65685424949238,0.262814748809793,"TP1011"
"119",8,0.257331812723741,"TP1011"
"120",8,0.285050394176643,"TP1011"
"121",1,0.304955870969502,"TP1011"
"122",3,0.245625510177658,"TP1011"
"123",7,0.27959213880069,"TP1011"
"124",1,0.31108087357045,"TP1011"
"125",2.23606797749979,0.327203474204798,"TP1011"
"126",5,0.284608271051787,"TP1011"
"127",10.6301458127346,0.278775157646061,"TP1011"
"128",1,0.264810450169713,"TP1011"
"129",2,0.2788344537915,"TP1011"
"130",6,0.28621411618644,"TP1011"
"131",1.4142135623731,0.296784345956646,"TP1011"
"132",2,0.322046532155785,"TP1011"
"133",4.47213595499958,0.271488145301699,"TP1011"
"134",10,0.279597715031662,"TP1011"
"135",2,0.317059841325422,"TP1011"
"136",4,0.281837117305755,"TP1011"
"137",3.16227766016838,0.278750458486772,"TP1011"
"138",2.82842712474619,0.338075229468837,"TP1011"
"139",4,0.261610009305332,"TP1011"
"140",8.94427190999916,0.272900324854259,"TP1011"
"141",4,0.295211837921223,"TP1011"
"142",7.07106781186548,0.346127536906709,"TP1011"
"143",6.32455532033676,0.362716987032998,"TP1011"
"144",5.65685424949238,0.306774254108962,"TP1011"
"145",8,0.268462076289829,"TP1011"
"146",8,0.267449930867012,"TP1011"
"147",1.4142135623731,0.302713826347216,"TP1011"
"148",4.24264068711928,0.227804532775173,"TP1011"
"149",9.89949493661167,0.322503309779839,"TP1011"
"150",1.4142135623731,0.365557919120607,"TP1011"
"151",2.82842712474619,0.315211710954047,"TP1011"
"152",8.48528137423857,0.352160121469358,"TP1011"
"153",2.82842712474619,0.394883420892318,"TP1011"
"154",5.65685424949238,0.285696700293044,"TP1011"
"155",5.65685424949238,0.333570185643391,"TP1011"
"156",11.3137084989848,0.267473026620031,"TP1011"
