"","row","col","value","row1_1","row1_2","col1_1","col1_2"
"54","TP15.Control","TP16.Post_flowering_drought",0.477272727272727,15,"Control",16,"Post_flowering_drought"
"55","TP16.Control","TP16.Post_flowering_drought",0.49438202247191,16,"Control",16,"Post_flowering_drought"
"56","TP17.Control","TP16.Post_flowering_drought",0.477272727272727,17,"Control",16,"Post_flowering_drought"
"57","TP10.Control","TP17.Post_flowering_drought",0.477272727272727,10,"Control",17,"Post_flowering_drought"
"58","TP11.Control","TP17.Post_flowering_drought",0.49438202247191,11,"Control",17,"Post_flowering_drought"
"59","TP12.Control","TP17.Post_flowering_drought",0.559139784946237,12,"Control",17,"Post_flowering_drought"
"60","TP13.Control","TP17.Post_flowering_drought",0.49438202247191,13,"Control",17,"Post_flowering_drought"
"61","TP14.Control","TP17.Post_flowering_drought",0.477272727272727,14,"Control",17,"Post_flowering_drought"
"62","TP15.Control","TP17.Post_flowering_drought",0.511111111111111,15,"Control",17,"Post_flowering_drought"
"63","TP16.Control","TP17.Post_flowering_drought",0.574468085106383,16,"Control",17,"Post_flowering_drought"
"64","TP17.Control","TP17.Post_flowering_drought",0.477272727272727,17,"Control",17,"Post_flowering_drought"
