"","transcrib.pct","qPCR","Habitat"
"1",0.00240447360444012,4.52968409,"Leaf"
"2",0.0058002630487528,5.067765601,"Leaf"
"3",0.00104864372621115,3.90856767,"Leaf"
"4",0.00186594660135684,2.846997889,"Leaf"
"5",0.00288491173154315,4.389674126,"Leaf"
"6",0.00268959105684973,4.046091722,"Leaf"
"7",0.000990554850230897,2.949886667,"Leaf"
"8",0.00121555412094916,3.452583184,"Leaf"
"10",0.00198263167974512,4.199210856,"Leaf"
"11",0.00734659400061133,5.105449967,"Leaf"
"12",0.00348457156917332,4.611427032,"Leaf"
"13",0.00314719949470288,4.247779129,"Leaf"
"14",0.00273930904677169,4.096948676,"Leaf"
"15",0.00438355399919081,3.309462618,"Leaf"
"16",0.00222234341686886,3.633111806,"Leaf"
"17",0.00201307126541163,3.89667364,"Leaf"
"18",0.00430770869823844,5.563253103,"Root"
"19",0.00681745253644189,6.199225278,"Root"
"20",0.00490686120944084,5.713451533,"Root"
"21",0.00336154491043786,5.843849265,"Root"
"22",0.00786305230408639,5.991202605,"Root"
"23",0.0120964376806558,5.949553027,"Root"
"24",0.00674363654120061,5.753668887,"Root"
"25",0.00812381808796279,5.808350727,"Root"
"26",0.0039579071262875,5.262728579,"Root"
"27",0.00433561165176607,5.597905049,"Root"
"28",0.00418696500842796,5.863405558,"Root"
"29",0.00897333619127221,6.059307677,"Root"
"30",0.00746353274221349,5.997398188,"Root"
"31",0.0136777741560308,6.011672513,"Root"
"32",0.00639282031639413,6.148373084,"Root"
"33",0.0107441590874212,6.247215363,"Root"
"34",0.00378972841548005,5.503159151,"Root"
"35",0.010196500208638,5.996718069,"Root"
"37",0.0042737178275775,4.003345849,"Leaf"
"38",0.0111517958721385,3.389422245,"Leaf"
"40",0.00194458219766199,2.773285859,"Leaf"
"41",0.00582740501263877,5.393347565,"Leaf"
"42",0.0117808806425797,5.595137662,"Leaf"
"43",0.00124015945269625,4.450198701,"Leaf"
"44",0.00119754403276314,2.597621007,"Leaf"
"45",0.00550728203671268,5.025017008,"Leaf"
"47",0.0120512856285838,4.504137299,"Leaf"
"48",0.00601181816913502,5.602022969,"Leaf"
"49",0.00989235801518682,3.893064501,"Leaf"
"51",0.00606229714869864,3.392229179,"Leaf"
"52",0.00246459178613147,3.23154924,"Leaf"
"53",0.00160492715426655,4.297778764,"Leaf"
"54",0.00580153136482224,5.917953513,"Root"
"55",0.0137647806383942,6.461477645,"Root"
"56",0.00771491298717606,6.211476128,"Root"
"57",0.00748357213611061,6.518248725,"Root"
"58",0.010683787242516,6.420471157,"Root"
"59",0.0119450007419649,6.434613113,"Root"
"60",0.0160170563145018,6.725571864,"Root"
"61",0.011861291881382,6.877639258,"Root"
"62",0.0114889142833951,6.628873792,"Root"
"63",0.00858548513723814,6.087298464,"Root"
"64",0.00496850137041551,6.056099073,"Root"
"65",0.0101589580529826,6.520283331,"Root"
"66",0.00595195365065756,6.418190387,"Root"
"67",0.0244597290623212,6.597047687,"Root"
"68",0.00981296142924001,6.66048735,"Root"
"69",0.0153841665958524,6.653439603,"Root"
"70",0.0102746284785154,6.576779634,"Root"
"71",0.0116142239110555,6.593909701,"Root"
"72",0.00920619902162098,5.579355551,"Leaf"
"73",0.0150746974749095,6.340413767,"Leaf"
"74",0.0080829783105269,5.65660245,"Leaf"
"75",0.0156106878458539,5.889183838,"Leaf"
"76",0.00597884195132964,4.547428808,"Leaf"
"77",0.00356599746083123,4.506818342,"Leaf"
"78",0.00963057757845486,5.948496611,"Root"
"79",0.0129865418981872,6.243126324,"Root"
"80",0.00938097297598951,5.141783462,"Root"
"81",0.0386899816981991,5.792592989,"Root"
"82",0.0108182287458764,6.386260659,"Root"
"83",0.0102972045045514,6.341572323,"Root"
"84",0.0121332188466695,6.355035098,"Leaf"
"85",0.0125378116728201,5.630283291,"Leaf"
"86",0.0168868674749222,4.972565454,"Leaf"
"87",0.00721215249725092,5.191665538,"Leaf"
"88",0.00435666569851873,5.076522743,"Leaf"
"89",0.0140115949455068,5.751733709,"Leaf"
"90",0.00373392250842479,5.382244565,"Leaf"
"91",0.00670888468089802,6.092131329,"Leaf"
"92",0.0136721935653253,5.928620298,"Leaf"
"93",0.0158930150029108,6.040266195,"Leaf"
"94",0.0166002280432293,6.161488739,"Leaf"
"95",0.0129218577786459,5.910305125,"Leaf"
"96",0.0300225633428753,6.019775472,"Leaf"
"97",0.0274795896236526,6.203786373,"Leaf"
"98",0.0104037430543841,5.669096381,"Leaf"
"99",0.0064422846431022,5.448635835,"Leaf"
"100",0.00511435771840086,5.049268488,"Leaf"
