"","fung.dist","gd"
"1",0.404184621757009,63.2455532033676
"2",0.42044682669099,52
"3",0.356653042881242,41.182520563948
"4",0.404561724357334,31.2409987036266
"5",0.445798461517113,40
"6",0.351391340970465,41.7612260356422
"7",0.426839838331083,46.6476151587624
"8",0.455609351646809,12
"9",0.367925127025557,53.8144961882948
"10",0.383149497574765,48
"11",0.471799189461542,60
"12",0.43254832380266,12
"13",0.380741332279241,24
"14",0.382726465106872,36
"15",0.429175176141136,63.2455532033676
"16",0.390709517390606,52
"17",0.338572406756713,41.182520563948
"18",0.467032989614086,52
"19",0.36222102407232,31.2409987036266
"20",0.464116654934771,23.3238075793812
"21",0.422378227550337,20
"22",0.370199371380367,12
"23",0.450476573897154,24
"24",0.464032055291507,52
"25",0.433536758666345,41.182520563948
"26",0.470013754262556,31.2409987036266
"27",0.479192867422556,41.182520563948
"28",0.430295432770665,23.3238075793812
"29",0.418712317353499,20
"30",0.515505843097315,23.3238075793812
"31",0.405185488705252,12
"32",0.49346213317918,41.182520563948
"33",0.417306385075698,31.2409987036266
"34",0.410652842704612,23.3238075793812
"35",0.460633225602225,31.2409987036266
"36",0.418737583923977,20
"37",0.39735360790663,23.3238075793812
"38",0.493974519721579,31.2409987036266
"39",0.441725737591216,31.2409987036266
"40",0.409055700428232,23.3238075793812
"41",0.367870181210339,20
"42",0.429670644571541,23.3238075793812
"43",0.34264365799291,23.3238075793812
"44",0.416568824156984,31.2409987036266
"45",0.443869354935,41.182520563948
"46",0.446894644710959,12
"47",0.44594556819666,24
"48",0.419363786519272,41.7612260356422
"49",0.46837474703435,36
"50",0.502353794606203,62.4819974072532
"51",0.485200798877646,72.1110255092798
"52",0.420489739155349,12
"53",0.43272855693816,40
"54",0.376585025851035,24
"55",0.41663332181337,53.8144961882948
"56",0.400900240836433,62.4819974072532
"57",0.426645808193401,41.7612260356422
"58",0.359592789418737,12
"59",0.465787229003694,46.6476151587624
"60",0.466783433205333,53.8144961882948
"61",0.490907050899934,46.6476151587624
"62",0.460429803642,36
"63",0.521913710838359,48
"64",0.426946616767806,41.7612260356422
"65",0.42342009884225,46.6476151587624
"66",0.48027232165357,12
