"","fung.dist","td"
"1",0.45611728340955,1
"2",0.555685798612215,2
"3",0.580563624649921,3
"4",0.610530100836474,4
"5",0.574108009144362,5
"6",0.481841052972682,6
"7",0.511597443644272,7
"8",0.566479878943785,8
"9",0.55662302876048,9
"10",0.608457384200973,10
"11",0.505956014591821,11
"12",0.62682420715517,12
"13",0.590575025779488,13
"14",0.644320786373916,14
"15",0.402997399667811,1
"16",0.417374876355254,2
"17",0.431988212010713,3
"18",0.350297569381799,4
"19",0.36413744173605,5
"20",0.401309524550844,6
"21",0.472139984974998,7
"22",0.492734154222554,8
"23",0.519943416948921,9
"24",0.508527508860215,10
"25",0.587761542864244,11
"26",0.554798246113081,12
"27",0.578027182856582,13
"28",0.376620949505456,1
"29",0.391554876196546,2
"30",0.378095909099697,3
"31",0.423623916835504,4
"32",0.439039247795964,5
"33",0.55108432119314,6
"34",0.521691406034902,7
"35",0.589167588116273,8
"36",0.565351907661151,9
"37",0.669122563683444,10
"38",0.624699597759591,11
"39",0.570705552866609,12
"40",0.412269913336935,1
"41",0.348028076258092,2
"42",0.469928145050037,3
"43",0.436396214091525,4
"44",0.521135996881892,5
"45",0.532752528792759,6
"46",0.604340534499275,7
"47",0.55747579472449,8
"48",0.630528310844914,9
"49",0.580176693262135,10
"50",0.611936987847915,11
"51",0.375515387974981,1
"52",0.482677340360233,2
"53",0.423316865571661,3
"54",0.514493072695506,4
"55",0.557116514693771,5
"56",0.604357475418271,6
"57",0.587957798782776,7
"58",0.688469853441788,8
"59",0.67394592043791,9
"60",0.665082356061425,10
"61",0.461184040486008,1
"62",0.439518032742602,2
"63",0.514153144988874,3
"64",0.512818810254542,4
"65",0.574697631975051,5
"66",0.588293208512331,6
"67",0.672746392443871,7
"68",0.589688394505397,8
"69",0.628043095989741,9
"70",0.428350883350738,1
"71",0.538093363859962,2
"72",0.511757367266304,3
"73",0.547388407837704,4
"74",0.502845110378011,5
"75",0.599958107756162,6
"76",0.543135012923898,7
"77",0.561859651527212,8
"78",0.448779289018027,1
"79",0.465840233517823,2
"80",0.548978849304196,3
"81",0.477548834270169,4
"82",0.620160143212835,5
"83",0.571348237277945,6
"84",0.581771446129401,7
"85",0.395389291249891,1
"86",0.482302855006309,2
"87",0.483005226381072,3
"88",0.593227080805976,4
"89",0.519061104891334,5
"90",0.559132633283474,6
"91",0.412024832517527,1
"92",0.420707748277114,2
"93",0.539894506023765,3
"94",0.48555708123648,4
"95",0.534970749963039,5
"96",0.39250427901333,1
"97",0.456472837380575,2
"98",0.447691822275785,3
"99",0.409076658789405,4
"100",0.467978461192054,1
"101",0.435358829495671,2
"102",0.442068475517011,3
"103",0.412048030261068,1
"104",0.359414501551575,2
"105",0.433695307095144,1
