"","fung.dist","td"
"1",0.388551752761908,1
"2",0.432623877758371,2
"3",0.531612851435926,3
"4",0.502305552131432,4
"5",0.432004114011742,5
"6",0.5618326155042,6
"7",0.496033439675462,7
"8",0.52172474969593,8
"9",0.509650033038623,9
"10",0.401721594609435,1
"11",0.430310772937562,2
"12",0.424355488150322,3
"13",0.388365906989123,4
"14",0.486396601530827,5
"15",0.446350131601007,6
"16",0.441273471540552,7
"17",0.451287986280708,8
"18",0.395361406840399,1
"19",0.41936073943949,2
"20",0.448687238141681,3
"21",0.434056700058497,4
"22",0.414871869744409,5
"23",0.405384192335755,6
"24",0.458374246006037,7
"25",0.430496743258624,1
"26",0.435605404660795,2
"27",0.466587347588868,3
"28",0.431221402286683,4
"29",0.469557767169692,5
"30",0.468515248618998,6
"31",0.453959117083292,1
"32",0.396155519883156,2
"33",0.443204636459312,3
"34",0.385821055133161,4
"35",0.444080238137094,5
"36",0.435895526568236,1
"37",0.355641025487575,2
"38",0.410893937210455,3
"39",0.399122640592026,4
"40",0.441802319495051,1
"41",0.451041843557433,2
"42",0.437548716963604,3
"43",0.374004285454574,1
"44",0.317871250463,2
"45",0.378553005540188,1
