sorghum	Guild	Genus
189	Saprotroph	Parastagonospora
207	Plant pathogen	Drechslera
301	Saprotroph	Preussia
499	Unidentified & others	Ajellomyces
167	Plant pathogen	_
550	Plant pathogen	Spizellomyces
247	Yeast	Phaeococcomyces
25318	Unidentified & others	Minimedusa
329	Saprotroph	Penicillium
109	Saprotroph	Hydnophlebia
230	Saprotroph	Volvariella
449	Saprotroph	Gliomastix
62	Saprotroph	Lindgomyces
141	Yeast	Cladophialophora
58	Plant pathogen	Eocronartium
24	Plant pathogen	Catenulostroma
75279	Saprotroph	Chaetomium
205	Saprotroph	Scytalidium
34	Yeast	Scheffersomyces
34	Saprotroph	Mycocalicium
313	Plant pathogen	Coniosporium
54	Saprotroph	Mortierella
61	Saprotroph	Kernia
81	Saprotroph	Cunninghamella
55	Plant pathogen	Curvularia
246	Plant pathogen	Podosphaera
28671	Saprotroph	Preussia
39	Unidentified & others	Phaeosclera
168	Unidentified & others	Pseudocamarosporium
438	Saprotroph	Articulospora
13	Yeast	Quambalaria
67	Yeast	Sporobolomyces
150	Endophyte	Periconia
9	Plant pathogen	Knufia
222	Yeast	Ustilago
12	Unidentified & others	Ramalina
34	Unidentified & others	Neodevriesia
28399	Plant pathogen	Triparticalcar
89	Yeast	Cutaneotrichosporon
10	Saprotroph	Westerdykella
162	Saprotroph	Scolecobasidium
91	Plant pathogen	Sarocladium
19600	Yeast	Sporisorium
8	Plant pathogen	Botryosphaeria
20	Saprotroph	Preussia
18	Saprotroph	Agaricus
27	Yeast	Cryptococcus
178	Plant pathogen	Alternaria
50	Plant pathogen	Cercosporella
33	Unidentified & others	Hispidoconidioma
423792	Saprotroph	Gloeoporus
12928	Unidentified & others	_
12	Yeast	Bullera
109	Unidentified & others	Paraphoma
53	Unidentified & others	Saxophila
197	Saprotroph	Nigrospora
5	Saprotroph	Plenodomus
16	Saprotroph	Thelebolus
174	Saprotroph	Glarea
220	Plant pathogen	Fusarium
62	Unidentified & others	Lecanicillium
125331	Saprotroph	Schizothecium
69	Yeast	Curvibasidium
79	Yeast	Pichia
29	Unidentified & others	_
32	Plant pathogen	Pseudocercosporella
42	Unidentified & others	Leptospora
48	Plant pathogen	Botryosphaeria
107	Plant pathogen	Lectera
117	Unidentified & others	_
184	Unidentified & others	_
121806	Plant pathogen	Fusarium
24	Yeast	Macalpinomyces
904	Plant pathogen	Alternaria
30	Saprotroph	Pyrenochaeta
216	Saprotroph	Thielavia
819	Saprotroph	_
117	Saprotroph	Westerdykella
63	Plant pathogen	Leptosphaeria
475	Saprotroph	Chaetomium
51563	Endophyte	Cladosporium
7	Unidentified & others	_
71	Plant pathogen	Olpidium
24	Saprotroph	Melanoleuca
71	Saprotroph	Entoloma
101	Saprotroph	Humicola
217	Unidentified & others	_
61	Plant pathogen	Betamyces
125	Saprotroph	Aphanoascus
43	Saprotroph	Globulicium
27112	Plant pathogen	Alternaria
150	Endophyte	Triscelophorus
419	Saprotroph	Penicillium
143	Saprotroph	Lophiotrema
1374	Plant pathogen	Trichothecium
0	Saprotroph	Neosulcatispora
13	Saprotroph	Athelia
307	Saprotroph	Penicillium
191	Plant pathogen	Powellomyces
40799	Unidentified & others	Pseudogymnoascus
96	Saprotroph	Oidiodendron
935	Saprotroph	Eucasphaeria
189	Saprotroph	Chaetomium
72	Unidentified & others	_
169	Saprotroph	Westerdykella
40	Plant pathogen	Powellomyces
67	Plant pathogen	Spizellomyces
224194	Plant pathogen	Acrophialophora
22	Saprotroph	Tulostoma
430	Unidentified & others	Sodiomyces
0	Plant pathogen	Powellomyces
116	Saprotroph	Ascotricha
34046	Plant pathogen	Spizellomyces
18	Saprotroph	Idriella
105	Unidentified & others	_
79	Saprotroph	Oedocephalum
38	Saprotroph	Scutellinia
265	Saprotroph	Gliomastix
53699	Yeast	Pseudozyma
71	Unidentified & others	Lyophyllum
18	Unidentified & others	Sporendonema
8	Plant pathogen	Catenulostroma
22	Saprotroph	Hyphodontia
217	Saprotroph	Aspergillus
82	Unidentified & others	_
44363	Saprotroph	Mortierella
102	Saprotroph	Bovista
219	Saprotroph	Penicillium
38	Saprotroph	Lophiostoma
106	Unidentified & others	Rachicladosporium
1568	Yeast	Cryptococcus
97	Yeast	Occultifur
23	Saprotroph	Neostagonospora
81	Yeast	Occultifur
309439	Saprotroph	Gloeoporus
23162	Yeast	Rhodotorula
19	Unidentified & others	Libertasomyces
39	Saprotroph	Allophaeosphaeria
22	Plant pathogen	Pleospora
181	Unidentified & others	Neocatenulostroma
87	Yeast	Phialophora
100	Saprotroph	Chaetosphaeronema
52	Saprotroph	Coprinus
19	Yeast	Occultifur
85	Yeast	Clavispora
239	Yeast	Sampaiozyma
67056	Saprotroph	Schizothecium
14	Yeast	_
24	Yeast	Udeniomyces
205	Yeast	Aureobasidium
6	Yeast	Cryptococcus
57	Endophyte	Periconia
9	Saprotroph	Parastagonospora
12	Saprotroph	_
53	Saprotroph	Agaricus
61	Yeast	Papiliotrema
44422	Saprotroph	Chaetomium
87	Plant pathogen	Ascochyta
183	Saprotroph	Parasola
43	Plant pathogen	Phoma
223	Saprotroph	Massarina
16	Yeast	Udeniomyces
56380	Saprotroph	Mortierella
29	Unidentified & others	_
192	Yeast	Exophiala
88	Saprotroph	Psathyrella
35	Saprotroph	Rutstroemia
4980	Arbuscular mycorrhizal	Rhizophagus
79	Arbuscular mycorrhizal	Claroideoglomus
179	Saprotroph	Tulostoma
47964	Plant pathogen	Gibellulopsis
598	Unidentified & others	_
102	Plant pathogen	Spizellomyces
519	Arbuscular mycorrhizal	Rhizophagus
8	Arbuscular mycorrhizal	_
72	Saprotroph	Conlarium
493	Unidentified & others	_
954	Unidentified & others	Setophoma
20762	Saprotroph	Coniochaeta
68	Unidentified & others	_
85	Saprotroph	Sydowia
849	Saprotroph	Arachnomyces
4	Unidentified & others	Pseudotaeniolina
889	Saprotroph	Subramaniula
542	Yeast	Metschnikowia
202	Yeast	Tilletiopsis
56601	Saprotroph	Chaetomium
237	Saprotroph	Aspergillus
12	Yeast	Rhodotorula
613	Saprotroph	Sarocladium
84	Plant pathogen	Colletotrichum
334	Saprotroph	Conocybe
12	Plant pathogen	Angulomyces
44	Saprotroph	Microascus
122	Plant pathogen	Spizellomyces
18	Arbuscular mycorrhizal	Claroideoglomus
69672	Saprotroph	Penicillium
200	Saprotroph	Sclerostagonospora
60	Plant pathogen	Collophora
31	Unidentified & others	_
11	Arbuscular mycorrhizal	_
146	Saprotroph	Sirastachys
68	Saprotroph	Penicillium
19324	Saprotroph	Acrocalymma
79	Plant pathogen	Stagonospora
12	Plant pathogen	Ramularia
83	Saprotroph	Exidiopsis
59	Saprotroph	Rhizophlyctis
140	Endophyte	Podospora
224	Arbuscular mycorrhizal	_
410	Arbuscular mycorrhizal	_
493	Arbuscular mycorrhizal	_
29067	Saprotroph	Marasmius
366	Unidentified & others	Pulvinula
262	Saprotroph	Chlorophyllum
218	Saprotroph	Ceratobasidium
50	Saprotroph	Minutisphaera
167	Saprotroph	Limnoperdon
143	Arbuscular mycorrhizal	_
