sorghum	Guild	Genus
45	Unidentified & others	_
211	Saprotroph	Thielavia
22	Saprotroph	Scutellinia
10828	Yeast	Cryptococcus
17	Plant pathogen	Leptosphaerulina
27	Yeast	Kwoniella
49	Plant pathogen	Diplodia
39	Unidentified & others	Perusta
4271	Saprotroph	Marasmius
62	Saprotroph	Graphiopsis
45	Saprotroph	Geomyces
25	Saprotroph	Pyrenochaeta
86	Saprotroph	Spiromastix
5787	Arbuscular mycorrhizal	_
2	Saprotroph	Phragmocephala
28	Saprotroph	Entoloma
16744	Saprotroph	Aspergillus
25	Unidentified & others	Robillarda
11	Unidentified & others	Pulvinula
38	Arbuscular mycorrhizal	Paraglomus
15	Saprotroph	Lycoperdon
183	Saprotroph	Aspergillus
156	Saprotroph	Leucocoprinus
29	Saprotroph	Circinella
8230	Saprotroph	Arrhenia
45	Unidentified & others	_
17	Saprotroph	Tulostoma
17	Unidentified & others	_
7	Saprotroph	Lophiostoma
5	Saprotroph	Coprinus
43	Unidentified & others	Heydenia
27	Plant pathogen	Knufia
13045	Saprotroph	Sordaria
41	Saprotroph	Leucoagaricus
7	Saprotroph	Petriella
53	Saprotroph	Pluteus
283747	Saprotroph	Preussia
13817	Saprotroph	Preussia
1709	Saprotroph	Catenaria
13645	Arbuscular mycorrhizal	Rhizophagus
9333	Arbuscular mycorrhizal	_
25970	Endophyte	Podospora
14901	Yeast	Naganishia
33058	Saprotroph	Auricularia
19948	Saprotroph	Aspergillus
27173	Saprotroph	Thielavia
13125	Yeast	Sporidiobolus
308294	Yeast	Symmetrospora
5878	Saprotroph	Coprinopsis
10532	Saprotroph	Chrysosporium
10325	Saprotroph	Scytalidium
17402	Saprotroph	Conocybe
13601	Saprotroph	Peziza
7865	Yeast	Cystofilobasidium
2513	Plant pathogen	Phlyctochytrium
11033	Saprotroph	Mortierella
6805	Saprotroph	Cercophora
12021	Plant pathogen	Spizellomyces
353897	Yeast	Ustilago
20090	Arbuscular mycorrhizal	Rhizophagus
12571	Unidentified & others	Vermispora
8600	Saprotroph	Trichurus
11641	Saprotroph	Auricularia
10904	Saprotroph	Coprinopsis
6677	Yeast	Ustilago
11064	Saprotroph	Petriella
7124	Saprotroph	Mortierella
16690	Saprotroph	Ochroconis
11215	Saprotroph	Aspergillus
836866	Plant pathogen	Fusarium
8297	Plant pathogen	Leptosphaeria
14235	Arbuscular mycorrhizal	Rhizophagus
15423	Saprotroph	Trichoderma
13747	Plant pathogen	Betamyces
9442	Saprotroph	Leucothecium
1986	Saprotroph	Bolbitius
43164	Arbuscular mycorrhizal	Rhizophagus
13794	Saprotroph	Thielavia
15344	Saprotroph	Coniolariella
18796	Saprotroph	Monocillium
593849	Plant pathogen	Acrophialophora
75651	Endophyte	Podospora
14400	Saprotroph	Aspergillus
6345	Plant pathogen	Fusarium
37783	Saprotroph	Emericellopsis
4644	Plant pathogen	Curvularia
7766	Plant pathogen	Rhizoctonia
8036	Saprotroph	Conocybe
9351	Saprotroph	Penicillium
8522	Plant pathogen	Paraphysoderma
8415	Saprotroph	Penicillium
1182520	Plant pathogen	Gibberella
1097	Saprotroph	Melanoleuca
6859	Yeast	Holtermanniella
13651	Plant pathogen	_
4363	Saprotroph	Astrosphaeriella
27436	Plant pathogen	Fusarium
6806	Saprotroph	Conocybe
8403	Unidentified & others	Madurella
11628	Plant pathogen	Sparassis
6811	Saprotroph	Cladorrhinum
6133	Saprotroph	Scytalidium
469576	Plant pathogen	Sarocladium
1432	Yeast	Anthracocystis
4161	Saprotroph	Coniolariella
4482	Plant pathogen	Thanatephorus
5180	Saprotroph	Scedosporium
1782	Saprotroph	Rhizophlyctis
11876	Plant pathogen	Peniophora
4173	Saprotroph	Hansfordia
43943	Unidentified & others	_
9261	Plant pathogen	Curvularia
3845	Yeast	Buckleyzyma
3423698	Plant pathogen	Setophoma
407687	Plant pathogen	Monosporascus
2461	Unidentified & others	Sodiomyces
7936	Saprotroph	Mycothermus
2176	Saprotroph	Ascobolus
6980	Saprotroph	Coprinopsis
3310	Saprotroph	Coprinopsis
18714	Endophyte	Acremonium
7477	Arbuscular mycorrhizal	Glomus
22623	Plant pathogen	Magnaporthiopsis
27049	Unidentified & others	Wettsteinina
2803	Yeast	Anthracocystis
133493	Saprotroph	Ascobolus
1486	Unidentified & others	_
4615	Yeast	Cryptococcus
24004	Unidentified & others	Beauveria
7243	Arbuscular mycorrhizal	Rhizophagus
3985	Unidentified & others	Laccaria
3379	Saprotroph	Mortierella
4337	Saprotroph	Rhizophlyctis
2330	Saprotroph	Cristinia
662	Unidentified & others	_
351644	Endophyte	Periconia
7838	Unidentified & others	Ophiocordyceps
