Ss0	Guild	Genus
4	Saprotroph	Thielavia
0	Saprotroph	Scutellinia
3	Yeast	Cryptococcus
0	Plant pathogen	Leptosphaerulina
0	Yeast	Kwoniella
0	Plant pathogen	Diplodia
0	Unidentified & others	Perusta
0	Saprotroph	Marasmius
0	Saprotroph	Graphiopsis
0	Saprotroph	Geomyces
0	Saprotroph	Pyrenochaeta
9	Saprotroph	Spiromastix
0	Arbuscular mycorrhizal	_
0	Saprotroph	Phragmocephala
2	Saprotroph	Entoloma
1923	Saprotroph	Aspergillus
0	Unidentified & others	Robillarda
0	Unidentified & others	Pulvinula
0	Arbuscular mycorrhizal	Paraglomus
9	Saprotroph	Lycoperdon
8	Saprotroph	Aspergillus
0	Saprotroph	Leucocoprinus
0	Saprotroph	Circinella
1882	Saprotroph	Arrhenia
1	Unidentified & others	_
0	Saprotroph	Tulostoma
0	Unidentified & others	_
0	Saprotroph	Lophiostoma
0	Saprotroph	Coprinus
0	Unidentified & others	Heydenia
0	Plant pathogen	Knufia
1850	Saprotroph	Sordaria
0	Saprotroph	Leucoagaricus
0	Saprotroph	Petriella
5	Saprotroph	Pluteus
29863	Saprotroph	Preussia
1588	Saprotroph	Preussia
0	Saprotroph	Catenaria
2	Arbuscular mycorrhizal	Rhizophagus
0	Arbuscular mycorrhizal	_
4189	Endophyte	Podospora
559	Yeast	Naganishia
10	Saprotroph	Auricularia
57	Saprotroph	Aspergillus
4403	Saprotroph	Thielavia
1	Yeast	Sporidiobolus
12	Yeast	Symmetrospora
906	Saprotroph	Coprinopsis
1315	Saprotroph	Chrysosporium
944	Saprotroph	Scytalidium
9	Saprotroph	Conocybe
207	Saprotroph	Peziza
0	Yeast	Cystofilobasidium
0	Plant pathogen	Phlyctochytrium
1097	Saprotroph	Mortierella
831	Saprotroph	Cercophora
520	Plant pathogen	Spizellomyces
4	Yeast	Ustilago
6	Arbuscular mycorrhizal	Rhizophagus
501	Unidentified & others	Vermispora
1006	Saprotroph	Trichurus
0	Saprotroph	Auricularia
0	Saprotroph	Coprinopsis
2	Yeast	Ustilago
1160	Saprotroph	Petriella
829	Saprotroph	Mortierella
2772	Saprotroph	Ochroconis
639	Saprotroph	Aspergillus
21478	Plant pathogen	Fusarium
1210	Plant pathogen	Leptosphaeria
6	Arbuscular mycorrhizal	Rhizophagus
1598	Saprotroph	Trichoderma
2511	Plant pathogen	Betamyces
1153	Saprotroph	Leucothecium
0	Saprotroph	Bolbitius
1	Arbuscular mycorrhizal	Rhizophagus
1917	Saprotroph	Thielavia
1504	Saprotroph	Coniolariella
3114	Saprotroph	Monocillium
5564	Plant pathogen	Acrophialophora
11009	Endophyte	Podospora
1211	Saprotroph	Aspergillus
399	Plant pathogen	Fusarium
5722	Saprotroph	Emericellopsis
223	Plant pathogen	Curvularia
1	Plant pathogen	Rhizoctonia
7	Saprotroph	Conocybe
1160	Saprotroph	Penicillium
2678	Plant pathogen	Paraphysoderma
1168	Saprotroph	Penicillium
1996	Plant pathogen	Gibberella
0	Saprotroph	Melanoleuca
34	Yeast	Holtermanniella
9	Plant pathogen	_
469	Saprotroph	Astrosphaeriella
2265	Plant pathogen	Fusarium
43	Saprotroph	Conocybe
3070	Unidentified & others	Madurella
3	Plant pathogen	Sparassis
648	Saprotroph	Cladorrhinum
654	Saprotroph	Scytalidium
25274	Plant pathogen	Sarocladium
0	Yeast	Anthracocystis
461	Saprotroph	Coniolariella
0	Plant pathogen	Thanatephorus
1001	Saprotroph	Scedosporium
815	Saprotroph	Rhizophlyctis
1095	Plant pathogen	Peniophora
493	Saprotroph	Hansfordia
22	Unidentified & others	_
1018	Plant pathogen	Curvularia
0	Yeast	Buckleyzyma
16238	Plant pathogen	Setophoma
360	Plant pathogen	Monosporascus
1769	Unidentified & others	Sodiomyces
603	Saprotroph	Mycothermus
66	Saprotroph	Ascobolus
3	Saprotroph	Coprinopsis
309	Saprotroph	Coprinopsis
2675	Endophyte	Acremonium
34	Arbuscular mycorrhizal	Glomus
52	Plant pathogen	Magnaporthiopsis
542	Unidentified & others	Wettsteinina
0	Yeast	Anthracocystis
22600	Saprotroph	Ascobolus
796	Unidentified & others	_
76	Yeast	Cryptococcus
1305	Unidentified & others	Beauveria
0	Arbuscular mycorrhizal	Rhizophagus
447	Unidentified & others	Laccaria
43	Saprotroph	Mortierella
457	Saprotroph	Rhizophlyctis
0	Saprotroph	Cristinia
23	Unidentified & others	_
6658	Endophyte	Periconia
1113	Unidentified & others	Ophiocordyceps
1171	Saprotroph	Spiromastix
640	Saprotroph	Aspergillus
540	Plant pathogen	Paraphysoderma
19	Arbuscular mycorrhizal	Glomus
770	Saprotroph	Chrysosporium
379	Saprotroph	Polytolypa
14	Saprotroph	Cyathus
136	Unidentified & others	Poaceascoma
0	Arbuscular mycorrhizal	_
26808	Saprotroph	Stachybotrys
5	Endophyte	Periconia
0	Plant pathogen	Sparassis
5	Saprotroph	Cristinia
79	Saprotroph	Boubovia
927	Yeast	_
658	Saprotroph	Chrysosporium
553	Unidentified & others	Myceliophthora
35	Unidentified & others	Vermispora
1	Yeast	Naganishia
113	Endophyte	Podospora
35	Yeast	Cryptococcus
8	Unidentified & others	_
711	Plant pathogen	Monographella
100	Saprotroph	Thielavia
79	Plant pathogen	Bipolaris
83	Saprotroph	Pseudopithomyces
163	Unidentified & others	_
1337	Saprotroph	Chrysosporium
184	Unidentified & others	_
6	Plant pathogen	Spizellomyces
12	Saprotroph	Rhizopus
21261	Plant pathogen	Phoma
39	Plant pathogen	Alternaria
0	Arbuscular mycorrhizal	_
706	Saprotroph	Parasympodiella
7	Arbuscular mycorrhizal	Funneliformis
0	Yeast	Papiliotrema
118	Unidentified & others	Vermispora
0	Yeast	Sporobolomyces
106	Yeast	Sporisorium
255	Unidentified & others	_
318	Plant pathogen	Spizellomyces
15	Yeast	Sporobolomyces
120	Unidentified & others	_
1462	Saprotroph	Cladorrhinum
338	Saprotroph	Mortierella
51	Unidentified & others	Beauveria
7	Saprotroph	Rhizophlyctis
915	Saprotroph	Humicola
1217	Saprotroph	Chaetomium
53	Saprotroph	Cystoagaricus
638	Plant pathogen	Alternaria
518	Unidentified & others	_
743	Saprotroph	Rhizophlyctis
385	Unidentified & others	_
0	Saprotroph	Zopfiella
249	Saprotroph	Iodophanus
663	Saprotroph	Ascobolus
5505	Saprotroph	Peziza
12	Arbuscular mycorrhizal	Glomus
0	Yeast	Filobasidium
564	Plant pathogen	Spizellomyces
79890	Saprotroph	Chaetomium
0	Yeast	Rhodotorula
15	Saprotroph	Scedosporium
1	Yeast	Cystofilobasidium
638	Saprotroph	Actinomucor
299	Plant pathogen	Monographella
1628	Plant pathogen	Talbotiomyces
771	Endophyte	Podospora
122	Unidentified & others	_
267	Saprotroph	Coprinellus
4296	Saprotroph	Rhizopus
0	Yeast	Filobasidium
0	Saprotroph	Preussia
72	Unidentified & others	_
5	Saprotroph	Mallochia
777	Yeast	Chrysozyma
148	Unidentified & others	Polyschema
299	Saprotroph	_
123	Unidentified & others	_
0	Saprotroph	Clitopilus
471	Plant pathogen	Spizellomyces
38	Saprotroph	Laburnicola
79	Unidentified & others	_
5	Saprotroph	Penicillium
0	Saprotroph	Conocybe
4	Saprotroph	Cryptodiscus
1	Saprotroph	Chlorophyllum
0	Saprotroph	Cercophora
498	Plant pathogen	Verticillium
45469	Saprotroph	Chaetomium
124	Plant pathogen	Monilinia
0	Yeast	_
1	Unidentified & others	_
0	Yeast	Aureobasidium
217	Saprotroph	Geastrum
141	Plant pathogen	Curvularia
127	Endophyte	Acremonium
307	Saprotroph	Chaetomium
120	Saprotroph	Ceratobasidium
114	Saprotroph	Entoloma
12681	Plant pathogen	Fusarium
268	Saprotroph	_
348	Unidentified & others	_
434	Plant pathogen	Fusarium
1	Arbuscular mycorrhizal	_
118	Saprotroph	Harzia
379	Saprotroph	Trichoderma
