Ss0	Guild	Genus
0	Saprotroph	Mycocalicium
10	Plant pathogen	Coniosporium
0	Saprotroph	Mortierella
0	Saprotroph	Kernia
0	Saprotroph	Cunninghamella
0	Plant pathogen	Curvularia
0	Plant pathogen	Podosphaera
3109	Saprotroph	Preussia
0	Unidentified & others	Phaeosclera
7	Unidentified & others	Pseudocamarosporium
3	Saprotroph	Articulospora
0	Yeast	Quambalaria
0	Yeast	Sporobolomyces
0	Endophyte	Periconia
0	Plant pathogen	Knufia
10	Yeast	Ustilago
0	Unidentified & others	Ramalina
0	Unidentified & others	Neodevriesia
1495	Plant pathogen	Triparticalcar
0	Yeast	Cutaneotrichosporon
0	Saprotroph	Westerdykella
6	Saprotroph	Scolecobasidium
0	Plant pathogen	Sarocladium
2	Yeast	Sporisorium
0	Plant pathogen	Botryosphaeria
0	Saprotroph	Preussia
0	Saprotroph	Agaricus
0	Yeast	Cryptococcus
0	Plant pathogen	Alternaria
0	Plant pathogen	Cercosporella
0	Unidentified & others	Hispidoconidioma
35571	Saprotroph	Gloeoporus
1373	Unidentified & others	_
0	Yeast	Bullera
6	Unidentified & others	Paraphoma
0	Unidentified & others	Saxophila
1	Saprotroph	Nigrospora
0	Saprotroph	Plenodomus
7	Saprotroph	Thelebolus
0	Saprotroph	Glarea
8	Plant pathogen	Fusarium
0	Unidentified & others	Lecanicillium
12196	Saprotroph	Schizothecium
0	Yeast	Curvibasidium
0	Yeast	Pichia
0	Unidentified & others	_
1	Plant pathogen	Pseudocercosporella
8	Unidentified & others	Leptospora
10	Plant pathogen	Botryosphaeria
4	Plant pathogen	Lectera
0	Unidentified & others	_
0	Unidentified & others	_
14066	Plant pathogen	Fusarium
0	Yeast	Macalpinomyces
2	Plant pathogen	Alternaria
0	Saprotroph	Pyrenochaeta
28	Saprotroph	Thielavia
261	Saprotroph	_
23	Saprotroph	Westerdykella
4	Plant pathogen	Leptosphaeria
40	Saprotroph	Chaetomium
199	Saprotroph	Cladosporium
2	Unidentified & others	_
11	Plant pathogen	Olpidium
17	Saprotroph	Melanoleuca
9	Saprotroph	Entoloma
27	Saprotroph	Humicola
27	Unidentified & others	_
17	Plant pathogen	Betamyces
83	Saprotroph	Aphanoascus
23	Saprotroph	Globulicium
3094	Plant pathogen	Alternaria
24	Endophyte	Triscelophorus
59	Saprotroph	Penicillium
26	Saprotroph	Lophiotrema
145	Plant pathogen	Trichothecium
21	Saprotroph	Neosulcatispora
1	Saprotroph	Athelia
52	Saprotroph	Penicillium
20	Plant pathogen	Powellomyces
5575	Unidentified & others	Pseudogymnoascus
7	Saprotroph	Oidiodendron
222	Saprotroph	Eucasphaeria
15	Saprotroph	Chaetomium
18	Unidentified & others	_
11	Saprotroph	Westerdykella
70	Plant pathogen	Powellomyces
64	Plant pathogen	Spizellomyces
13430	Plant pathogen	Acrophialophora
2	Saprotroph	Tulostoma
65	Unidentified & others	Sodiomyces
73	Plant pathogen	Powellomyces
13	Saprotroph	Ascotricha
3302	Plant pathogen	Spizellomyces
3	Saprotroph	Idriella
22	Unidentified & others	_
13	Saprotroph	Oedocephalum
1	Saprotroph	Scutellinia
50	Saprotroph	Gliomastix
0	Yeast	Pseudozyma
6	Unidentified & others	Lyophyllum
3	Unidentified & others	Sporendonema
37	Plant pathogen	Catenulostroma
4	Saprotroph	Hyphodontia
56	Saprotroph	Aspergillus
37	Unidentified & others	_
4408	Saprotroph	Mortierella
9	Saprotroph	Bovista
56	Saprotroph	Penicillium
7	Saprotroph	Lophiostoma
0	Unidentified & others	Rachicladosporium
128	Yeast	Cryptococcus
2	Yeast	Occultifur
0	Saprotroph	Neostagonospora
0	Yeast	Occultifur
26160	Saprotroph	Gloeoporus
7	Yeast	Rhodotorula
0	Unidentified & others	Libertasomyces
0	Saprotroph	Allophaeosphaeria
0	Plant pathogen	Pleospora
0	Unidentified & others	Neocatenulostroma
0	Yeast	Phialophora
0	Saprotroph	Chaetosphaeronema
0	Saprotroph	Coprinus
0	Yeast	Occultifur
0	Yeast	Clavispora
1	Yeast	Sampaiozyma
9997	Saprotroph	Schizothecium
0	Yeast	_
0	Yeast	Udeniomyces
0	Yeast	Aureobasidium
0	Yeast	Cryptococcus
0	Endophyte	Periconia
0	Saprotroph	Parastagonospora
0	Saprotroph	_
4	Saprotroph	Agaricus
0	Yeast	Papiliotrema
4792	Saprotroph	Chaetomium
0	Plant pathogen	Ascochyta
0	Saprotroph	Parasola
4	Plant pathogen	Phoma
8	Saprotroph	Massarina
0	Yeast	Udeniomyces
6322	Saprotroph	Mortierella
0	Unidentified & others	_
4	Yeast	Exophiala
0	Saprotroph	Psathyrella
0	Saprotroph	Rutstroemia
0	Arbuscular mycorrhizal	Rhizophagus
0	Arbuscular mycorrhizal	Claroideoglomus
37	Saprotroph	Tulostoma
6351	Plant pathogen	Gibellulopsis
2	Unidentified & others	_
0	Plant pathogen	Spizellomyces
0	Arbuscular mycorrhizal	Rhizophagus
0	Arbuscular mycorrhizal	_
7	Saprotroph	Conlarium
51	Unidentified & others	_
3	Unidentified & others	Setophoma
2548	Saprotroph	Coniochaeta
0	Unidentified & others	_
0	Saprotroph	Sydowia
42	Saprotroph	Arachnomyces
4	Unidentified & others	Pseudotaeniolina
128	Saprotroph	Subramaniula
0	Yeast	Metschnikowia
0	Yeast	Tilletiopsis
5534	Saprotroph	Chaetomium
12	Saprotroph	Aspergillus
0	Yeast	Rhodotorula
0	Saprotroph	Sarocladium
1	Plant pathogen	Colletotrichum
0	Saprotroph	Conocybe
0	Plant pathogen	Angulomyces
6	Saprotroph	Microascus
1	Plant pathogen	Spizellomyces
4	Arbuscular mycorrhizal	Claroideoglomus
3065	Saprotroph	Penicillium
0	Saprotroph	Sclerostagonospora
0	Plant pathogen	Collophora
0	Unidentified & others	_
0	Arbuscular mycorrhizal	_
0	Saprotroph	Sirastachys
11	Saprotroph	Penicillium
346	Saprotroph	Acrocalymma
0	Plant pathogen	Stagonospora
0	Plant pathogen	Ramularia
0	Saprotroph	Exidiopsis
7	Saprotroph	Rhizophlyctis
23	Endophyte	Podospora
0	Arbuscular mycorrhizal	_
1	Arbuscular mycorrhizal	_
0	Arbuscular mycorrhizal	_
0	Saprotroph	Marasmius
3	Unidentified & others	Pulvinula
15	Saprotroph	Chlorophyllum
1	Saprotroph	Ceratobasidium
4	Saprotroph	Minutisphaera
6	Saprotroph	Limnoperdon
0	Arbuscular mycorrhizal	_
